Name,result_id,id_type,DrugBank:All Names,DrugBank:CAS Registry Number,DrugBank:FDA Approved,DrugBank:Indication,DrugBank:Mechanism,DrugBank:Main Name,DrugBank:Prices,DrugBank:SMILES,DrugBank:UNII,DrugBank:Match Found,Main Name,Blood Brain Barrier,P-glycoprotein Inhibition,Human Intestinal Absorption,Drug Induced Liver Injury,Pediatric Safety,score,Less than $500
10-Cl-BBQ,23982-76-5,cas-number,,,,,,,,,,False,10-cl-bbq,,,,,False,0,False
Cephaeline,483-17-0,cas-number,,,,,,,,,,False,cephaeline,,,,,False,0,False
Lycorine,476-28-8,cas-number,,,,,,,,,,False,lycorine,,,,,False,0,False
Leflunomide,75706-12-6,cas-number,"['mylan-leflunomide', 'n-[4-(trifluoromethyl)phenyl] 5 methylisoxazole-4-carboxamide', 'leflunomide winthrop', 'truemed group llc', 'alpha,alpha,alpha-trifluoro-5-methyl-4-isoxazolecarboxy-p-toluidide', 'leflunomide teva', 'n-(4-(trifluoromethyl)phenyl) 5 methylisoxazole-4-carboxamide', 'accel-leflunomide', 'leflunomide medac', 'leflunomidum', 'apo-leflunomide', 'léflunomide', '4-isoxazolecarboxamide, 5-methyl-n-(4-(trifluoromethyl)phenyl)-', 'mar-leflunomide', 'phl-leflunomide', 'leflunomide', '5-methyl-n-(4-(trifluoromethyl)phenyl)-4-isoxazolecarboxamide', 'teva-leflunomide', 'odan-leflunomide', 'pms-leflunomide', 'sandoz leflunomide', 'nu-leflunomide', 'leflunomide ratiopharm', '5-methylisoxazole-4-carboxylic acid (4-trifluoromethyl)anilide', 'repso', 'leflunomida', 'dom-leflunomide', 'lefluniclo', 'ntp-leflunomide', 'arava']",75706-12-6,1.0,For the management of the signs and symptoms of active rheumatoid arthritis (RA) to improve physical function and to slow the progression of structural damage associated with the disease. Has also been used for the prevention of acute and chronic rejection in recipients of solid organ trasnplants and is designated by the FDA as an orphan drug for this use.,"Leflunomide is a prodrug that is rapidly and almost completely metabolized following oral administration to its pharmacologically active metabolite, A77 1726. This metabolite is responsible for essentially all of the drug's activity in-vivo. The mechanism of action of leflunomide has not been fully determined, but appears to primarily involve regulation of autoimmune lymphocytes. It has been suggested that leflunomide exerts its immunomodulating effects by preventing the expansion of activated autoimmune lymphocytes via interferences with cell cycle progression. In-vitro data indicates that leflunomide interferes with cell cycle progression by inhibiting dihydroorotate dehydrogenase (a mitochondrial enzyme involved in de novo pyrimidine ribonucleotide uridine monophosphate (rUMP)synthesis) and has antiproliferative activity. Human dihydroorotate dehydrogenase consists of 2 domains: an α/β-barrel domain containing the active site and an α-helical domain that forms a tunnel leading to the active site. A77 1726 binds to the hydrophobic tunnel at a site near the flavin mononucleotide. Inhibition of dihydroorotate dehydrogenase by A77 1726 prevents production of rUMP by the de novo pathway; such inhibition leads to decreased rUMP levels, decreased DNA and RNA synthesis, inhibition of cell proliferation, and G1 cell cycle arrest. It is through this action that leflunomide inhibits autoimmune T-cell proliferation and production of autoantibodies by B cells. Since salvage pathways are expected to sustain cells arrested in the G1 phase, the activity of leflunomide is cytostatic rather than cytotoxic. Other effects that result from reduced rUMP levels include interference with adhesion of activated lymphocytes to the synovial vascular endothelial cells, and increased synthesis of immunosuppressive cytokines such as transforming growth factor-β (TGF-β). Leflunomide is also a tyrosine kinase inhibitor. Tyrosine kinases activate signalling pathways leading to DNA repair, apoptosis and cell proliferation. Inhibition of tyrosine kinases can help to treating cancer by preventing repair of tumor cells. ",Leflunomide,"['16.75USD', '24.76USD']",CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,G162GK9U4W,True,leflunomide,0.9323954405,0.0363891024,0.9963311783000001,0.8966627585,True,-999999997.0,True
Sulindac,38194-50-2,cas-number,"['apo-sulin tab 150mg', 'clinoril', 'nu-sulindac tab 200mg', 'nu-sulindac tab 150mg', 'cis-5-fluoro-2-methyl-1-((p-methylsulfinyl)benzylidene)indene-3-acetic acid', 'clinoril tab 200mg', 'sulindaco', '(z)-5-fluoro-2-methyl-1-((p-(methylsulfinyl)phenyl)methylene)-1h-indene-3-acetic acid', 'sulindac-200 tab 200mg', 'teva-sulindac', 'sulindacum', 'sulindac-150 tab 150mg', 'apo-sulin tab 200mg', 'clinoril tab 150mg', 'cis-5-fluoro-2-methyl-1-((4-(methylsulfinyl)phenyl)methylene)-1h-indene-3-acetic acid', 'sunlindac', 'penta-sulindac', 'sulindac']",38194-50-2,1.0,"For acute or long-term use in the relief of signs and symptoms of osteoarthritis, rheumatoid arthritis, ankylosing spondylitis, acute painful shoulder (acute subacromial bursitis/supraspinatus tendinitis), and acute gouty arthritis.","Sulindac's exact mechanism of action is unknown. Its antiinflammatory effects are believed to be due to inhibition of both COX-1 and COX-2 which leads to the inhibition of prostaglandin synthesis. Antipyretic effects may be due to action on the hypothalamus, resulting in an increased peripheral blood flow, vasodilation, and subsequent heat dissipation.",Sulindac,"['17.36USD', '0.4USD', '1.23USD', '0.51USD', '1.0USD', '1.58USD']",CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O,184SNS8VUH,True,sulindac,0.7752240866,0.3047650488,0.995608307,0.8990316188,True,-999999997.0,True
Tranilast,53902-12-8,cas-number,"['tranilastum', 'tranilast', 'n-(3,4-dimethoxycinnamoyl)anthranilic acid']",53902-12-8,0.0,"For the treatment of bronchial asthma, keloid and hypertrophic scar, and allergic disorders such as asthma, allergic rhinitis and atopic dermatitis.",,Tranilast,,COC1=CC=C(\C=C\C(=O)NC2=CC=CC=C2C(O)=O)C=C1OC,HVF50SMY6E,True,tranilast,0.6239894453,0.0501838245,0.9922015153,0.7813446807000001,False,-1000000000.0,False
Doxycycline,564-25-0,cas-number,"['teva-doxycycline', 'oracea', 'rho-doxycycline - cap 100mg', 'apo-doxycycline mr', 'ratio-doxycycline', 'doxytab', 'alti-doxycycline - tab 100mg', '6-alpha-deoxy-5-oxytetracycline', 'benoxyldoxy 60 kit', 'doxy 100', 'ntp-doxycycline tablets', 'morgidox', 'nu-doxycycline cap 100mg', 'dom-doxycycline', '6α-deoxy-5-oxytetracycline', 'doxycycline anhydrous', 'doxycycline (anhydrous)', 'sandoz doxycycline', 'nicazel doxy kit', 'periostat', 'mondoxyne nl', 'rho-doxycycline - tab 100mg', 'doryx 100mg cap', 'vibramycin calcium', 'apo-doxy tabs 100mg', 'doxycycline hyclate', 'prz-doxycycline', 'doxycin tab 100mg', 'okebo', 'acticlate cap', 'mondoxyne nl 100mg', 'vibra-tabs', 'doxycyclinum', 'jamp doxycycline capsules', 'nu-doxycycline tab 100mg', 'penta-doxycycline tablets', 'm-doxycycline', 'doxycyclin', 'vibramycin monohydrate', 'vibramycin cap 100mg', 'vibramycin inj', '6alpha-deoxy-5-oxytetracycline', 'doryx mpc', 'acticlate', 'phl-doxycycline', 'monodox', 'rho-doxycin tabs - 100mg', 'pms-doxycycline', '5-hydroxy-α-6-deoxytetracycline', 'doxycycline-100 cap 100mg usp', 'apo-doxy cap 100mg', 'vibramycin hyclate', 'apo-doxycycline modified release', 'adoxa', 'ntp-doxycycline capsules', 'atridox', 'doryx', 'jamp doxycycline', 'benzodox 60 kit', 'doxycycline', 'apprilon', 'alti-doxycycline-cap 100mg', 'targadox', 'alodox', 'doxycycline capsules', 'benoxyldoxy 30 kit', 'doxycyclate hyclate', 'doxycin cap 100mg', 'doxiciclina', 'doxycycline hyclate delayed release', 'ocudox', 'doxy 100(tm) doxycycline', 'anhydrous doxycycline', 'doxycycline tablets', 'lymepak', 'doxycycline monohydrate', 'mondoxyne', 'benzodox 30 kit', 'rho-doxycin - cap 100mg']",564-25-0,1.0,"Doxycycline is indicated for the treatment of various infections by gram-positive and gram-negative bacteria, aerobes and anaerobes, as well other types of bacteria, including:

- Early Lyme disease (as evidenced by erythema migraines) due to _Borrelia burgdorferi_ in adults and pediatric patients 8 years of age and older weighing 45 kg and above [L42875]
- Rickettsial infections,[L42870] such as Rocky Mountain spotted fever, typhus fever and the typhus group, Q fever, rickettsialpox, and tick fevers [L42880]
- Sexually transmitted infections [L42870]
- Respiratory tract infections [L42870] caused by _Mycoplasma pneumoniae_ and _Haemophilus influenzae_ [L42880]
- Specific bacterial infections [L42870] after indicative bacteriologic testing. These include infections caused by _Escherichia coli_, _Enterobacter aerogenes_, _Shigella_ species, _Acinetobacter_ species, and _Klebsiella_ species [L42880]
- Ophthalmic infections,[L42870] such as inclusion conjunctivitis caused by _Chlamydia trachomatis_ [L42880]
- Anthrax, including inhalational anthrax (post-exposure) [L42870]
- Alternative treatment for selected infections when [penicillin] is contraindicated [L42870]
- Adjunctive therapy in acute intestinal amebiasis and severe acne [L42870, L42880]
- Lymphogranuloma venereum caused by _Chlamydia trachomatis_ [L42880]
- Psittacosis (ornithosis) caused by _Chlamydophila psittaci_ [L42880]
- Trachoma caused by _Chlamydia trachomatis_, although the infectious agent is not always eliminated, as judged by immunofluorescence [L42880]
- Uncomplicated urethral, endocervical, or rectal infections in adults caused by _Chlamydia trachomatis_ [L42880]
- Nongonococcal urethritis caused by _Ureaplasma urealyticum_ [L42880]
- Relapsing fever due to _Borrelia recurrentis_ [L42880]
- Prophylaxis of malaria due to _Plasmodium falciparum_ in short-term travelers (<4 months) to areas with chloroquine and/or pyrimethamine-sulfadoxine resistant strains [L42870, L42880]

It is also used to treat infections caused by the following gram-negative microorganisms:

- Chancroid caused by _Haemophilus ducreyi_ [L42880]
- Plague due to _Yersinia pestis_ [L42880]
- Tularemia due to _Francisella tularensis_ [L42880]
- Cholera caused by _Vibrio cholerae_ [L42880]
- Campylobacter fetus infections caused by _Campylobacter fetus_ [L42880]
- Brucellosis due to _Brucella_ species (in conjunction with [streptomycin]) [L42880]
- Bartonellosis due to _Bartonella bacilliformis_ [L42880]
- Granuloma inguinale caused by _Klebsiella granulomatis_ [L42880]","Protein synthesis is essential for survival and functioning of cells, including bacteria.[A251725] Doxycycline inhibits bacterial protein synthesis by allosterically binding to the 30S prokaryotic ribosomal subunit.[A251730, L42870] The drug blocks the association charged aminoacyl-tRNA (aa-tRNA) with the ribosomal A site, which is the acceptor site on the mRNA-ribosome complex. Doxycycline ultimately impedes the elongation phase of protein synthesis and halts the production of essential proteins for bacterial survival and functioning.[A251725, A251730]

Doxycycline mediates anti-inflammatory actions by preventing calcium-dependent microtubular assembly and lymphocytic proliferation, thereby inhibiting leukocyte movement during inflammation.[A251730] It also inhibits nitric oxide synthase, which is an enzyme that produces nitric oxide, an inflammatory signaling molecule.[A251730]",Doxycycline,"['13.86USD', '5.74USD', '6.0USD', '19.93USD', '9.13USD', '1.51USD', '16.83USD', '2.56USD', '4.17USD', '1.91USD', '9.88USD', '5.75USD', '11.52USD', '6.67USD', '0.67USD', '17.51USD', '13.46USD', '5.98USD', '0.64USD', '0.61USD', '8.42USD', '3.0USD', '0.76USD', '12.44USD', '14.16USD', '11.96USD', '9.91USD', '10.31USD', '1.28USD', '5.12USD', '2.22USD', '8.76USD', '9.29USD', '1.18USD', '11.02USD', '2.41USD', '36.29USD', '12.77USD', '9.51USD']",[H][C@@]12[C@@H](C)C3=CC=CC(O)=C3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O,334895S862,True,doxycycline,0.0498864911,0.0963500349,0.9137627913,0.8779009724,True,-1999999997.0,True
Amlexanox,68302-57-8,cas-number,"['2-amino-7-isopropyl-5-oxo-5h-(1)benzopyrano(2,3-b)pyridine-3-carboxylic acid', 'amlexanoxo', 'amlexanoxum', 'amoxanox', 'apthera', 'amlexanox']",68302-57-8,1.0,Used as a paste in the mouth to treat aphthous ulcers (canker sores). ,"As a benzopyrano-bipyridine carboxylic acid derivative, amlexanox has anti-inflammatory and antiallergic properties. It inhibits chemical mediatory release of the slow-reacting substance of anaphylaxis (SRS-A) and may have antagonistic effects on interleukin-3. When cells are under stress, they release an inactive form of human fibroblast growth factor 1 (FGF-1), a potent mitogen (entity that causes mitosis). Amlexanox binds to FGF1, increasing its conformational stability, sterically blocking Cu(2+) induced oxidation which normally leads to activation of FGF-1.  ",Amlexanox,"['29.99USD', '7.36USD']",CC(C)C1=CC2=C(OC3=NC(N)=C(C=C3C2=O)C(O)=O)C=C1,BRL1C2459K,True,amlexanox,0.4510280585,0.0898948386,0.9937769218,0.8922157942000001,False,-1999999998.0,True
Minocycline,10118-90-8,cas-number,"['minomycin', 'minocin', 'arestin', 'nu-minocycline', 'minocyclinum', 'minocycline-100', 'minociclinum', 'riva-minocycline', 'zilxi', 'phl-minocycline', 'ran-minocycline', 'amzeeq', 'dom-minocycline capsules', 'ava-minocycline', 'minocin kit', '7-dimethylamino-6-demethyl-6-deoxytetracycline', 'minolira extended release', 'minocycline hydrochloride', 'arestin microspheres', 'minocin cap 50mg', 'ximino', 'enca 100mg', 'enca 50mg', 'riva-minocycline 50 mg', 'dynacin', 'ratio-minocycline', 'pms-minocycline', 'teva-minocycline', 'minocycline-50', 'minocin cap 100mg', 'minocycline', 'minolira', 'mylan-minocycline', 'minociclina', 'minocyclin', '(4s,4as,5ar,12as)-4,7-bis(dimethylamino)-3,10,12,12a-tetrahydroxy-1,11-dioxo-1,4,4a,5,5a,6,11,12a-octahydrotetracene-2-carboxamide', 'solodyn', 'sandoz minocycline']",10118-90-8,1.0,"Oral and topical minocycline are indicated to treat inflammatory lesions of acne vulgaris.[L11701,L11704,L11719] Subgingival microspheres are indicated as an adjunct treatment in the reduction of pocket depth in adults with periodontitis.[L11716] Oral and intravenous formulations are indicated to treat infections of susceptible microorganisms.[L11707,L11710,L11713] These include rickettsiae, _Mycoplasma pneumoniae_, _Chlamydia trachomatis_, _Chlamydophila psittaci_, _Chlamydia trachomatis_, _Ureaplasma urealyticum_, _Borrelia recurrentis_, _Haemophilus ducreyi_, _Yersinia pestis_, _Francisella tularensis_, _Vibrio cholerae_, _Campylobacter fetus_, _Brucella_ species, _Bartonella bacilliformis_, _Klebsiella granulomatis_, _Escherichia coli_, _Enterobacter aerogenes_, _Shigella_ species, _Acinetobacter_ species, _Haemophilus influenzae_, and _Kelbsiella_ species.[L11710]","Tetracyclines enter bacterial cells through OmpF and OmpC porins by coordinating with cations like magnesium.[A19429] This allows tetracyclines into the periplasm where they dissociate, allowing the lipophilic tetracycline to diffuse into the bacterial cytoplasm.[A19429] Tetracyclines prevent aminoacyl-tRNA from binding to the 30S ribosome, inhibiting protein synthesis.[A190723,A19429,L11710,L11713] ",Minocycline,"['1.34USD', '59.64USD', '5.14USD', '1.08USD', '2.06USD', '668.17USD', '30.0USD', '13.37USD', '1.77USD', '0.69USD', '334.78USD', '1.98USD', '3.5USD', '6.15USD', '23.93USD', '12.05USD', '13.12USD', '24.89USD', '5.56USD', '19.21USD', '695.5USD', '5.24USD', '8.76USD', '21.0USD', '11.11USD', '3.85USD', '3.53USD', '7.15USD', '0.56USD']",[H][C@@]12CC3=C(C(O)=CC=C3N(C)C)C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])C2,FYY3R43WGO,True,minocycline,0.050906560100000005,0.08120649790000001,0.9208793174000001,0.8575629498,True,-1999999998.0,False
Netilmicin,56391-56-1,cas-number,"['netilmycin', 'netildex', '1-n-ethylsisomicin', 'netromycin inj 100mg/ml', 'netilmicin', 'netromycin inj 50mg/ml']",56391-56-1,1.0,"For the treatment of bacteremia, septicaemia, respiratory tract infections, skin and soft-tissue infection, burns, wounds, and peri-operative infections caused by susceptible strains.","Aminoglycosides like netilmicin ""irreversibly"" bind to specific 30S-subunit proteins and 16S rRNA. Specifically netilmicin binds to four nucleotides of 16S rRNA and a single amino acid of protein S12. This interferes with decoding site in the vicinity of nucleotide 1400 in 16S rRNA of 30S subunit. This region interacts with the wobble base in the anticodon of tRNA. This leads to interference with the initiation complex, misreading of mRNA so incorrect amino acids are inserted into the polypeptide leading to nonfunctional or toxic peptides and the breakup of polysomes into nonfunctional monosomes, leaving the bacterium unable to synthesize proteins vital to its growth.",Netilmicin,,CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,4O5J85GJJB,True,netilmicin,0.0355996617,0.037206956,0.0801731005,0.1789141331,True,-1999999998.0,False
