pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,agg1,publications_count,agg2
1e9ca901-9871-4f5a-88ac-b8f2e2503ae2,infores:arax,anxiety,MONDO:0011918,biolink:Disease,Midazolam,CHEBI:6931,biolink:SmallMolecule,1,0.999,0.999,0.0,0.0,0.499,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.809,True,0.379,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax']",3,1,2b924b020d9cbf9b39fa8d320bb05421,MONDO:0011918,anxiety,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:6931,Midazolam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:biothings-explorer,0,
1e9ca901-9871-4f5a-88ac-b8f2e2503ae2,infores:arax,anxiety,MONDO:0011918,biolink:Disease,Midazolam,CHEBI:6931,biolink:SmallMolecule,1,0.999,0.999,0.0,0.0,0.499,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.809,True,0.379,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax']",3,1,ba61b652989dc2630570a6003770d26e,MONDO:0011918,anxiety,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:6931,Midazolam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:repodb,infores:biothings-repodb,0,infores:biothings-explorer
1e9ca901-9871-4f5a-88ac-b8f2e2503ae2,infores:arax,anxiety,MONDO:0011918,biolink:Disease,Midazolam,CHEBI:6931,biolink:SmallMolecule,1,0.999,0.999,0.0,0.0,0.499,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.809,True,0.379,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax']",3,1,d8e90512472c4a86ec2cd765a5fc0951,MONDO:0011918,anxiety,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:6931,Midazolam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:preventative_for_condition,[],one-hop,,,,,,,,,"['PMID:32021629', 'PMID:33106446', 'PMID:33673878', 'PMID:35354072', 'PMID:36475214', 'PMID:36964603']",DEFAULT PHRASE,infores:semmeddb,infores:biothings-semmeddb,6,infores:biothings-explorer
1e9ca901-9871-4f5a-88ac-b8f2e2503ae2,infores:arax,anxiety,MONDO:0011918,biolink:Disease,Midazolam,CHEBI:6931,biolink:SmallMolecule,1,0.999,0.999,0.0,0.0,0.499,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.809,True,0.379,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax']",3,1,inferred-CHEBI:6931-treats-MONDO:0011918,MONDO:0011918,anxiety,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:6931,Midazolam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,,0,
1e9ca901-9871-4f5a-88ac-b8f2e2503ae2,infores:arax,anxiety,MONDO:0011918,biolink:Disease,Midazolam,CHEBI:6931,biolink:SmallMolecule,1,0.999,0.999,0.0,0.0,0.499,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.809,True,0.379,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax']",3,1,74fe1cbefed0ea43749960cced212b92,MONDO:0011918,anxiety,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:6931,Midazolam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:biothings-explorer,0,
1e9ca901-9871-4f5a-88ac-b8f2e2503ae2,infores:arax,anxiety,MONDO:0011918,biolink:Disease,Midazolam,CHEBI:6931,biolink:SmallMolecule,1,0.999,0.999,0.0,0.0,0.499,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.809,True,0.379,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax']",3,1,943539536b52ad6a092378367471eb19,MONDO:0011918,anxiety,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:6931,Midazolam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:mychem-info,0,infores:biothings-explorer
1e9ca901-9871-4f5a-88ac-b8f2e2503ae2,infores:arax,anxiety,MONDO:0011918,biolink:Disease,Midazolam,CHEBI:6931,biolink:SmallMolecule,1,0.999,0.999,0.0,0.0,0.499,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.809,True,0.379,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax']",3,1,d9913d3bdedd790de858a5cc9a6836a6,MONDO:0011918,anxiety,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:6931,Midazolam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:33531937', 'PMID:33728122', 'PMID:34318933', 'PMID:35234559', 'PMID:35383494', 'PMID:35928702']",DEFAULT PHRASE,infores:semmeddb,infores:biothings-semmeddb,6,infores:biothings-explorer
1e9ca901-9871-4f5a-88ac-b8f2e2503ae2,infores:arax,anxiety,MONDO:0011918,biolink:Disease,Midazolam,CHEBI:6931,biolink:SmallMolecule,1,0.999,0.999,0.0,0.0,0.499,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.809,True,0.379,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax']",3,1,ffcbf650f131a1e3cd6e7c7936b3d6f6,MONDO:0011918,anxiety,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:6931,Midazolam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:5703690', 'PMC:7755454', 'PMC:2940267', 'PMC:3037880', 'PMC:6393069']",DEFAULT PHRASE,infores:text-mining-provider-targeted,infores:biothings-explorer,5,
1e9ca901-9871-4f5a-88ac-b8f2e2503ae2,infores:arax,anxiety,MONDO:0011918,biolink:Disease,Midazolam,CHEBI:6931,biolink:SmallMolecule,1,0.999,0.999,0.0,0.0,0.499,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.809,True,0.379,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax']",3,1,5d71c73f8b3d,MONDO:0011918,anxiety,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:6931,Midazolam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:aragorn,0,infores:molepro
1e9ca901-9871-4f5a-88ac-b8f2e2503ae2,infores:arax,anxiety,MONDO:0011918,biolink:Disease,Midazolam,CHEBI:6931,biolink:SmallMolecule,1,0.999,0.999,0.0,0.0,0.499,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.809,True,0.379,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax']",3,1,17b62ba4d658,MONDO:0011918,anxiety,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:6931,Midazolam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:sider,infores:aragorn,0,infores:molepro
