pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
06654b21-32cf-4864-b666-0181baf7a587,infores:unsecret-agent,Ataxia,MONDO:0000437,biolink:Disease,mycophenolate sodium,CHEBI:67155,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,35.616,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,inferred-CHEBI:67155-treats-MONDO:0000437,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:67155,mycophenolate sodium,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
06654b21-32cf-4864-b666-0181baf7a587,infores:unsecret-agent,Ataxia,MONDO:0000437,biolink:Disease,mycophenolate sodium,CHEBI:67155,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,35.616,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,7a4da743127d4f9c38daef57d0bcf44a,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:67155,mycophenolate sodium,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:4821674', 'PMC:4552176', 'PMC:7220536', 'PMC:6763409', 'PMC:7471147']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:biothings-explorer,
06654b21-32cf-4864-b666-0181baf7a587,infores:unsecret-agent,Ataxia,MONDO:0000437,biolink:Disease,mycophenolate sodium,CHEBI:67155,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,35.616,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:creative_edge#12,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:67155,mycophenolate sodium,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
06654b21-32cf-4864-b666-0181baf7a587,infores:unsecret-agent,Ataxia,MONDO:0000437,biolink:Disease,mycophenolate sodium,CHEBI:67155,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,35.616,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:edge#12,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:67155,mycophenolate sodium,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:4821674', 'PMC:4552176', 'PMC:7220536', 'PMC:6763409', 'PMC:7471147']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:unsecret-agent,
06654b21-32cf-4864-b666-0181baf7a587,infores:unsecret-agent,Ataxia,MONDO:0000437,biolink:Disease,mycophenolate sodium,CHEBI:67155,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,35.616,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:creative_edge#53,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:67155,mycophenolate sodium,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
06654b21-32cf-4864-b666-0181baf7a587,infores:unsecret-agent,Ataxia,MONDO:0000437,biolink:Disease,mycophenolate sodium,CHEBI:67155,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,35.616,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:edge#53,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:67155,mycophenolate sodium,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:4552176', 'PMC:7471147', 'PMC:8615604']",DEFAULT PHRASE,infores:text-mining-provider-targeted,3,infores:unsecret-agent,
06654b21-32cf-4864-b666-0181baf7a587,infores:unsecret-agent,Ataxia,MONDO:0000437,biolink:Disease,mycophenolate sodium,CHEBI:67155,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,35.616,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:creative_edge#117,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:67155,mycophenolate sodium,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
06654b21-32cf-4864-b666-0181baf7a587,infores:unsecret-agent,Ataxia,MONDO:0000437,biolink:Disease,mycophenolate sodium,CHEBI:67155,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,35.616,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:edge#117,MONDO:0000437,Ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:67155,mycophenolate sodium,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:6341499', 'PMC:4574118', 'PMC:6791247']",DEFAULT PHRASE,infores:text-mining-provider-targeted,3,infores:unsecret-agent,
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Deferiprone,CHEBI:68554,biolink:SmallMolecule,Friedreich ataxia,MONDO:0100339,biolink:Disease,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:molepro:CHEBI:68554--biolink:treats--None--None--None--MONDO:0100339--infores:ctd,MONDO:0100339,Friedreich ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:68554,Deferiprone,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,['PMID:23418481'],DEFAULT PHRASE,infores:ctd,1,infores:molepro,infores:arax
06654b21-32cf-4864-b666-0181baf7a587,infores:arax,Deferiprone,CHEBI:68554,biolink:SmallMolecule,Friedreich ataxia,MONDO:0100339,biolink:Disease,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:rtx-kg2:CHEBI:68554--biolink:in_clinical_trials_for--None--None--None--MONDO:0100339--infores:multiomics-clinicaltrials,MONDO:0100339,Friedreich ataxia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:68554,Deferiprone,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:rtx-kg2,infores:arax
