pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
31a0a010-f7c5-4779-a6a8-618b547bd0a5,infores:improving-agent,Vertical Talus,MONDO:0008652,biolink:Disease,dexamethasone sodium phosphate,CHEBI:4462,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,97.4,False,-0.0,False,-0.0,True,1.0,True,0.792,False,-0.0,"['infores:biothings-explorer', 'infores:improving-agent']",2,1,inferred-CHEBI:4462-treats-MONDO:0008652,MONDO:0008652,Vertical Talus,['biolink:Disease'],biolink:Disease,CHEBI:4462,dexamethasone sodium phosphate,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
31a0a010-f7c5-4779-a6a8-618b547bd0a5,infores:improving-agent,Vertical Talus,MONDO:0008652,biolink:Disease,dexamethasone sodium phosphate,CHEBI:4462,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,97.4,False,-0.0,False,-0.0,True,1.0,True,0.792,False,-0.0,"['infores:biothings-explorer', 'infores:improving-agent']",2,1,e1bce529b273641f5cb9a768f63db43a,MONDO:0005578,arthritis,['biolink:Disease'],biolink:Disease,MONDO:0008652,Vertical Talus,['biolink:Disease'],biolink:Disease,biolink:has_phenotype,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:omim,0,infores:hpo-annotations,infores:monarchinitiative
31a0a010-f7c5-4779-a6a8-618b547bd0a5,infores:improving-agent,Vertical Talus,MONDO:0008652,biolink:Disease,dexamethasone sodium phosphate,CHEBI:4462,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,97.4,False,-0.0,False,-0.0,True,1.0,True,0.792,False,-0.0,"['infores:biothings-explorer', 'infores:improving-agent']",2,1,a593c90fe5a87fbeb7b31ef2445e56f7,MONDO:0005578,arthritis,['biolink:Disease'],biolink:Disease,CHEBI:4462,dexamethasone sodium phosphate,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
31a0a010-f7c5-4779-a6a8-618b547bd0a5,infores:improving-agent,Vertical Talus,MONDO:0008652,biolink:Disease,dexamethasone sodium phosphate,CHEBI:4462,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,97.4,False,-0.0,False,-0.0,True,1.0,True,0.792,False,-0.0,"['infores:biothings-explorer', 'infores:improving-agent']",2,1,d47ed10bcfdbcd9dbd409252354d727d,MONDO:0005578,arthritis,['biolink:Disease'],biolink:Disease,CHEBI:4462,dexamethasone sodium phosphate,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
31a0a010-f7c5-4779-a6a8-618b547bd0a5,infores:improving-agent,Vertical Talus,MONDO:0008652,biolink:Disease,dexamethasone sodium phosphate,CHEBI:4462,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,97.4,False,-0.0,False,-0.0,True,1.0,True,0.792,False,-0.0,"['infores:biothings-explorer', 'infores:improving-agent']",2,1,258b6e517b8401a8708398a05e771f71,MONDO:0005578,arthritis,['biolink:Disease'],biolink:Disease,CHEBI:4462,dexamethasone sodium phosphate,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:preventative_for_condition,[],one-hop,,,,,,,,,"['PMID:24375646', 'PMID:2538840', 'PMID:30009516', 'PMID:16947419', 'PMID:34993924']",DEFAULT PHRASE,infores:semmeddb,5,infores:biothings-semmeddb,infores:biothings-explorer
31a0a010-f7c5-4779-a6a8-618b547bd0a5,infores:improving-agent,Vertical Talus,MONDO:0008652,biolink:Disease,dexamethasone sodium phosphate,CHEBI:4462,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,97.4,False,-0.0,False,-0.0,True,1.0,True,0.792,False,-0.0,"['infores:biothings-explorer', 'infores:improving-agent']",2,1,72b6686769505d7c164eded300cfa248,MONDO:0005578,arthritis,['biolink:Disease'],biolink:Disease,CHEBI:4462,dexamethasone sodium phosphate,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:27779240', 'PMID:3437603', 'PMID:14402632', 'PMID:28900117', 'PMID:27572327', 'PMID:26919786', 'PMID:22676339', 'PMID:22972648', 'PMID:31172921', 'PMID:31221173', 'PMID:31441099', 'PMID:33098521', 'PMID:35554008', 'PMID:36156751']",DEFAULT PHRASE,infores:semmeddb,14,infores:biothings-semmeddb,infores:biothings-explorer
31a0a010-f7c5-4779-a6a8-618b547bd0a5,infores:improving-agent,Vertical Talus,MONDO:0008652,biolink:Disease,dexamethasone sodium phosphate,CHEBI:4462,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,97.4,False,-0.0,False,-0.0,True,1.0,True,0.792,False,-0.0,"['infores:biothings-explorer', 'infores:improving-agent']",2,1,235183a1c5c92024a5f505d79fa127a7,MONDO:0005578,arthritis,['biolink:Disease'],biolink:Disease,CHEBI:4462,dexamethasone sodium phosphate,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:6547310', 'PMC:6958460', 'PMC:2990997', 'PMC:4690754', 'PMC:3218911']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:biothings-explorer,
31a0a010-f7c5-4779-a6a8-618b547bd0a5,infores:improving-agent,Vertical Talus,MONDO:0008652,biolink:Disease,dexamethasone sodium phosphate,CHEBI:4462,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,97.4,False,-0.0,False,-0.0,True,1.0,True,0.792,False,-0.0,"['infores:biothings-explorer', 'infores:improving-agent']",2,1,3bc58784584e169281774820012855e8,MONDO:0008652,Vertical Talus,['biolink:Disease'],biolink:Disease,NCBIGene:4593,MUSK,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:hpo-annotations,0,infores:biothings-hpo,infores:biothings-explorer
31a0a010-f7c5-4779-a6a8-618b547bd0a5,infores:improving-agent,Vertical Talus,MONDO:0008652,biolink:Disease,dexamethasone sodium phosphate,CHEBI:4462,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,97.4,False,-0.0,False,-0.0,True,1.0,True,0.792,False,-0.0,"['infores:biothings-explorer', 'infores:improving-agent']",2,1,cb3ca81bddfc2faf8b867043a6541f32,MONDO:0008652,Vertical Talus,['biolink:Disease'],biolink:Disease,NCBIGene:6659,SOX4,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:hpo-annotations,0,infores:biothings-hpo,infores:biothings-explorer
31a0a010-f7c5-4779-a6a8-618b547bd0a5,infores:improving-agent,Vertical Talus,MONDO:0008652,biolink:Disease,dexamethasone sodium phosphate,CHEBI:4462,biolink:MolecularMixture,1,1.0,1.0,0.0,0.0,0.5,97.4,False,-0.0,False,-0.0,True,1.0,True,0.792,False,-0.0,"['infores:biothings-explorer', 'infores:improving-agent']",2,1,9f575b94c5ad100ce76caf6183155704,MONDO:0008652,Vertical Talus,['biolink:Disease'],biolink:Disease,NCBIGene:8314,BAP1,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:hpo-annotations,0,infores:biothings-hpo,infores:biothings-explorer
