pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1
3079fc45-d214-4478-862e-f13a1081d061,infores:unsecret-agent,Galactosylceramide (d18:1/12:0),CHEBI:176270,biolink:MolecularEntity,Delayed myelination,HP:0012448,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#13,HP:0012448,Delayed myelination,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,CHEBI:176270,Galactosylceramide (d18:1/12:0),['biolink:MolecularEntity'],biolink:MolecularEntity,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
3079fc45-d214-4478-862e-f13a1081d061,infores:unsecret-agent,Galactosylceramide (d18:1/12:0),CHEBI:176270,biolink:MolecularEntity,Delayed myelination,HP:0012448,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#26,NCBIGene:55650,PIGV,['biolink:Gene'],biolink:Gene,CHEBI:176270,Galactosylceramide (d18:1/12:0),['biolink:MolecularEntity'],biolink:MolecularEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'abundance'}]",one-hop,,,,,,,abundance,,[],DEFAULT PHRASE,infores:hmdb,0,infores:unsecret-agent
3079fc45-d214-4478-862e-f13a1081d061,infores:unsecret-agent,Galactosylceramide (d18:1/12:0),CHEBI:176270,biolink:MolecularEntity,Delayed myelination,HP:0012448,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#27,HP:0012448,Delayed myelination,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,NCBIGene:55650,PIGV,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:disgenet,0,infores:unsecret-agent
3079fc45-d214-4478-862e-f13a1081d061,infores:unsecret-agent,Galactosylceramide (d18:1/12:0),CHEBI:176270,biolink:MolecularEntity,Delayed myelination,HP:0012448,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#16,HP:0012448,Delayed myelination,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,CHEBI:176270,Galactosylceramide (d18:1/12:0),['biolink:MolecularEntity'],biolink:MolecularEntity,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
3079fc45-d214-4478-862e-f13a1081d061,infores:unsecret-agent,Galactosylceramide (d18:1/12:0),CHEBI:176270,biolink:MolecularEntity,Delayed myelination,HP:0012448,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#32,NCBIGene:55650,PIGV,['biolink:Gene'],biolink:Gene,CHEBI:176270,Galactosylceramide (d18:1/12:0),['biolink:MolecularEntity'],biolink:MolecularEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'abundance'}]",one-hop,,,,,,,abundance,,[],DEFAULT PHRASE,infores:hmdb,0,infores:unsecret-agent
3079fc45-d214-4478-862e-f13a1081d061,infores:unsecret-agent,Galactosylceramide (d18:1/12:0),CHEBI:176270,biolink:MolecularEntity,Delayed myelination,HP:0012448,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#33,HP:0012448,Delayed myelination,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,NCBIGene:55650,PIGV,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:disgenet,0,infores:unsecret-agent
3079fc45-d214-4478-862e-f13a1081d061,infores:unsecret-agent,Cer(d18:1/22:0),CHEBI:72966,biolink:MolecularEntity,Delayed myelination,HP:0012448,biolink:DiseaseOrPhenotypicFeature,2,0.992,0.992,0.0,0.0,0.496,99.187,False,-0.0,False,0.992,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:creative_edge#1,HP:0012448,Delayed myelination,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,CHEBI:72966,Cer(d18:1/22:0),['biolink:MolecularEntity'],biolink:MolecularEntity,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
3079fc45-d214-4478-862e-f13a1081d061,infores:unsecret-agent,Cer(d18:1/22:0),CHEBI:72966,biolink:MolecularEntity,Delayed myelination,HP:0012448,biolink:DiseaseOrPhenotypicFeature,2,0.992,0.992,0.0,0.0,0.496,99.187,False,-0.0,False,0.992,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:edge#2,NCBIGene:9091,PIGQ,['biolink:Gene'],biolink:Gene,CHEBI:72966,Cer(d18:1/22:0),['biolink:MolecularEntity'],biolink:MolecularEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'abundance'}]",one-hop,,,,,,,abundance,,[],DEFAULT PHRASE,infores:hmdb,0,infores:unsecret-agent
3079fc45-d214-4478-862e-f13a1081d061,infores:unsecret-agent,Cer(d18:1/22:0),CHEBI:72966,biolink:MolecularEntity,Delayed myelination,HP:0012448,biolink:DiseaseOrPhenotypicFeature,2,0.992,0.992,0.0,0.0,0.496,99.187,False,-0.0,False,0.992,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:edge#3,HP:0012448,Delayed myelination,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,NCBIGene:9091,PIGQ,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:disgenet,0,infores:unsecret-agent
3079fc45-d214-4478-862e-f13a1081d061,infores:unsecret-agent,Cer(d18:1/22:0),CHEBI:72966,biolink:MolecularEntity,Delayed myelination,HP:0012448,biolink:DiseaseOrPhenotypicFeature,2,0.992,0.992,0.0,0.0,0.496,99.187,False,-0.0,False,0.992,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:creative_edge#2,HP:0012448,Delayed myelination,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,CHEBI:72966,Cer(d18:1/22:0),['biolink:MolecularEntity'],biolink:MolecularEntity,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
