pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,agg1,agg2,publications_count
1cbc483a-a44f-4e6d-8613-7c78bac11e22,infores:aragorn,Ethanol,CHEBI:16236,biolink:ChemicalEntity,GABBR1,NCBIGene:2550,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,27.119,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.74,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,infores:automat-robokop:CHEBI:16236--biolink:affects--biolink:causes--decreased--activity_or_abundance--NCBIGene:2550--infores:text-mining-provider-targeted,NCBIGene:2550,GABBR1,"['biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:16236,Ethanol,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,"['PMID:33432190', 'PMID:19545402', 'PMC:3195825']",Ethanol causes decreased activity or abundance of GABBR1,infores:text-mining-provider-targeted,infores:automat-robokop,infores:arax,3
1cbc483a-a44f-4e6d-8613-7c78bac11e22,infores:aragorn,Ethanol,CHEBI:16236,biolink:ChemicalEntity,GABBR1,NCBIGene:2550,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,27.119,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.74,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:edge#1,NCBIGene:2550,GABBR1,"['biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:16236,Ethanol,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,"['PMID:33432190', 'PMID:19545402', 'PMC:3195825']",Ethanol causes decreased activity or abundance of GABBR1,infores:text-mining-provider-targeted,infores:unsecret-agent,,3
1cbc483a-a44f-4e6d-8613-7c78bac11e22,infores:aragorn,Ethanol,CHEBI:16236,biolink:ChemicalEntity,GABBR1,NCBIGene:2550,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,27.119,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.74,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:edge#3,NCBIGene:2550,GABBR1,"['biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:16236,Ethanol,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,"['PMID:19545402', 'PMC:3195825']",Ethanol causes decreased activity or abundance of GABBR1,infores:text-mining-provider-targeted,infores:unsecret-agent,,2
1cbc483a-a44f-4e6d-8613-7c78bac11e22,infores:aragorn,Ethanol,CHEBI:16236,biolink:ChemicalEntity,GABBR1,NCBIGene:2550,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,27.119,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.74,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,f8efd562-62e8-4bef-9032-2dd87edea0ff,NCBIGene:2550,GABBR1,"['biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:16236,Ethanol,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}]",creative,causes,,,,,decreased,activity_or_abundance,,[],Ethanol causes decreased activity or abundance of GABBR1,infores:aragorn,,,0
1cbc483a-a44f-4e6d-8613-7c78bac11e22,infores:aragorn,Ethanol,CHEBI:16236,biolink:ChemicalEntity,GABBR1,NCBIGene:2550,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,27.119,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.74,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,b27d6b2e95b6,NCBIGene:2550,GABBR1,"['biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:16236,Ethanol,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,"['PMID:33432190', 'PMID:19545402', 'PMC:3195825']",Ethanol causes decreased activity or abundance of GABBR1,infores:text-mining-provider-targeted,infores:aragorn,infores:automat-robokop,3
1cbc483a-a44f-4e6d-8613-7c78bac11e22,infores:aragorn,saclofen,CHEBI:91596,biolink:PhysicalEssence,GABBR1,NCBIGene:2550,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,96.61,False,-0.0,False,0.989,False,-0.0,False,-0.0,True,0.65,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,2,infores:automat-robokop:CHEBI:91596--biolink:affects--biolink:causes--decreased--activity--NCBIGene:2550--infores:bindingdb,NCBIGene:2550,GABBR1,"['biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:91596,saclofen,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:PhysicalEssence,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,[],saclofen causes decreased activity of GABBR1,infores:bindingdb,infores:automat-robokop,infores:arax,0
1cbc483a-a44f-4e6d-8613-7c78bac11e22,infores:aragorn,saclofen,CHEBI:91596,biolink:PhysicalEssence,GABBR1,NCBIGene:2550,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,96.61,False,-0.0,False,0.989,False,-0.0,False,-0.0,True,0.65,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,2,infores:automat-gtopdb:CHEBI:91596--biolink:affects--biolink:causes--decreased--activity--NCBIGene:2550--infores:gtopdb,NCBIGene:2550,GABBR1,"['biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:91596,saclofen,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:PhysicalEssence,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,"['PMID:11082110', 'PMID:12663046']",saclofen causes decreased activity of GABBR1,infores:gtopdb,infores:automat-gtopdb,infores:arax,2
1cbc483a-a44f-4e6d-8613-7c78bac11e22,infores:aragorn,saclofen,CHEBI:91596,biolink:PhysicalEssence,GABBR1,NCBIGene:2550,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,96.61,False,-0.0,False,0.989,False,-0.0,False,-0.0,True,0.65,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,2,infores:automat-binding-db:CHEBI:91596--biolink:affects--biolink:causes--decreased--activity--UniProtKB:Q9UBS5--infores:bindingdb,NCBIGene:2550,GABBR1,"['biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:91596,saclofen,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:PhysicalEssence,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,[],saclofen causes decreased activity of GABBR1,infores:bindingdb,infores:automat-binding-db,infores:arax,0
1cbc483a-a44f-4e6d-8613-7c78bac11e22,infores:aragorn,saclofen,CHEBI:91596,biolink:PhysicalEssence,GABBR1,NCBIGene:2550,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,96.61,False,-0.0,False,0.989,False,-0.0,False,-0.0,True,0.65,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,2,infores:automat-robokop:CHEBI:91596--biolink:affects--biolink:causes--decreased--activity--NCBIGene:2550--infores:gtopdb,NCBIGene:2550,GABBR1,"['biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:91596,saclofen,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:PhysicalEssence,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,"['PMID:11082110', 'PMID:12663046']",saclofen causes decreased activity of GABBR1,infores:gtopdb,infores:automat-robokop,infores:arax,2
1cbc483a-a44f-4e6d-8613-7c78bac11e22,infores:aragorn,saclofen,CHEBI:91596,biolink:PhysicalEssence,GABBR1,NCBIGene:2550,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,96.61,False,-0.0,False,0.989,False,-0.0,False,-0.0,True,0.65,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,2,medik:edge#20,NCBIGene:2550,GABBR1,"['biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:91596,saclofen,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:PhysicalEssence,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,"['PMID:11082110', 'PMID:12663046']",saclofen causes decreased activity of GABBR1,infores:gtopdb,infores:unsecret-agent,,2
