pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,agg1,agg2,publications_count
d5e818c7-419f-44af-aa99-2d6300188dbd,infores:aragorn,Ketamine,CHEBI:6121,biolink:ChemicalEntity,GABRG2,NCBIGene:2566,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,36.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.473,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,infores:automat-robokop:CHEBI:6121--biolink:affects--biolink:causes--decreased--activity_or_abundance--NCBIGene:2566--infores:text-mining-provider-targeted,NCBIGene:2566,GABRG2,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:OntologyClass', 'biolink:Protein', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:6121,Ketamine,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,['PMID:18322097'],Ketamine causes decreased activity or abundance of GABRG2,infores:text-mining-provider-targeted,infores:automat-robokop,infores:arax,1
d5e818c7-419f-44af-aa99-2d6300188dbd,infores:aragorn,Ketamine,CHEBI:6121,biolink:ChemicalEntity,GABRG2,NCBIGene:2566,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,36.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.473,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:edge#11,NCBIGene:2566,GABRG2,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:OntologyClass', 'biolink:Protein', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:6121,Ketamine,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,['PMID:18322097'],Ketamine causes decreased activity or abundance of GABRG2,infores:text-mining-provider-targeted,infores:unsecret-agent,,1
d5e818c7-419f-44af-aa99-2d6300188dbd,infores:aragorn,Ketamine,CHEBI:6121,biolink:ChemicalEntity,GABRG2,NCBIGene:2566,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,36.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.473,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:creative_edge#43,NCBIGene:2566,GABRG2,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:OntologyClass', 'biolink:Protein', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:6121,Ketamine,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}]",creative,causes,,,,,decreased,activity_or_abundance,,[],Ketamine causes decreased activity or abundance of GABRG2,infores:unsecret-agent,,,0
d5e818c7-419f-44af-aa99-2d6300188dbd,infores:aragorn,Ketamine,CHEBI:6121,biolink:ChemicalEntity,GABRG2,NCBIGene:2566,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,36.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.473,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:edge#150,NCBIGene:146712,B3GNTL1,['biolink:Protein'],biolink:Protein,CHEBI:6121,Ketamine,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,['PMC:4817977'],Ketamine causes decreased activity or abundance of B3GNTL1,infores:text-mining-provider-targeted,infores:unsecret-agent,,1
d5e818c7-419f-44af-aa99-2d6300188dbd,infores:aragorn,Ketamine,CHEBI:6121,biolink:ChemicalEntity,GABRG2,NCBIGene:2566,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,36.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.473,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:edge#151,NCBIGene:2566,GABRG2,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:OntologyClass', 'biolink:Protein', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,NCBIGene:146712,B3GNTL1,['biolink:Protein'],biolink:Protein,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,increased,activity_or_abundance,,"['PMID:8248128', 'PMID:8760196', 'PMID:8706863', 'PMID:7917304']",B3GNTL1 causes increased activity or abundance of GABRG2,infores:text-mining-provider-targeted,infores:unsecret-agent,,4
d5e818c7-419f-44af-aa99-2d6300188dbd,infores:aragorn,Ketamine,CHEBI:6121,biolink:ChemicalEntity,GABRG2,NCBIGene:2566,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,36.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.473,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:creative_edge#47,NCBIGene:2566,GABRG2,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:OntologyClass', 'biolink:Protein', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:6121,Ketamine,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}]",creative,causes,,,,,decreased,activity_or_abundance,,[],Ketamine causes decreased activity or abundance of GABRG2,infores:unsecret-agent,,,0
d5e818c7-419f-44af-aa99-2d6300188dbd,infores:aragorn,Ketamine,CHEBI:6121,biolink:ChemicalEntity,GABRG2,NCBIGene:2566,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,36.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.473,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:edge#158,NCBIGene:146712,B3GNTL1,['biolink:Protein'],biolink:Protein,CHEBI:6121,Ketamine,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,['PMC:4817977'],Ketamine causes decreased activity or abundance of B3GNTL1,infores:text-mining-provider-targeted,infores:unsecret-agent,,1
d5e818c7-419f-44af-aa99-2d6300188dbd,infores:aragorn,Ketamine,CHEBI:6121,biolink:ChemicalEntity,GABRG2,NCBIGene:2566,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,36.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.473,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:edge#159,NCBIGene:2566,GABRG2,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:OntologyClass', 'biolink:Protein', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,NCBIGene:146712,B3GNTL1,['biolink:Protein'],biolink:Protein,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,increased,activity_or_abundance,,"['PMID:8248128', 'PMID:8760196', 'PMID:8706863', 'PMID:7917304']",B3GNTL1 causes increased activity or abundance of GABRG2,infores:text-mining-provider-targeted,infores:unsecret-agent,,4
d5e818c7-419f-44af-aa99-2d6300188dbd,infores:aragorn,Ketamine,CHEBI:6121,biolink:ChemicalEntity,GABRG2,NCBIGene:2566,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,36.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.473,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:creative_edge#61,NCBIGene:2566,GABRG2,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:OntologyClass', 'biolink:Protein', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:6121,Ketamine,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}]",creative,causes,,,,,decreased,activity_or_abundance,,[],Ketamine causes decreased activity or abundance of GABRG2,infores:unsecret-agent,,,0
d5e818c7-419f-44af-aa99-2d6300188dbd,infores:aragorn,Ketamine,CHEBI:6121,biolink:ChemicalEntity,GABRG2,NCBIGene:2566,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,36.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,True,0.473,"['infores:arax', 'infores:unsecret-agent', 'infores:aragorn']",3,1,medik:edge#186,NCBIGene:84752,B3GNT9,['biolink:Protein'],biolink:Protein,CHEBI:6121,Ketamine,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,['PMC:4817977'],Ketamine causes decreased activity or abundance of B3GNT9,infores:text-mining-provider-targeted,infores:unsecret-agent,,1
