pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
e637fb09-43ab-495f-ac9c-fc71f22abc04,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,1,medik:creative_edge#0,HP:0001263,Cognitive delay,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:15956,Biotin,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
e637fb09-43ab-495f-ac9c-fc71f22abc04,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,1,medik:edge#0,HP:0001263,Cognitive delay,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:15956,Biotin,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:7211084', 'PMC:7274502', 'PMC:5471405', 'PMC:5428951', 'PMC:4885158']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:unsecret-agent,
e637fb09-43ab-495f-ac9c-fc71f22abc04,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,1,medik:creative_edge#2,HP:0001263,Cognitive delay,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:15956,Biotin,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
e637fb09-43ab-495f-ac9c-fc71f22abc04,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,1,medik:edge#2,HP:0001263,Cognitive delay,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:15956,Biotin,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:7211084', 'PMC:7274502', 'PMC:5471405', 'PMC:5428951', 'PMC:4885158']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:unsecret-agent,
e637fb09-43ab-495f-ac9c-fc71f22abc04,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,1,inferred-CHEBI:15956-treats-HP:0001263,HP:0001263,Cognitive delay,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:15956,Biotin,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
e637fb09-43ab-495f-ac9c-fc71f22abc04,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,1,4055ef40fe2bc30ff22e58de6c6a26af,HP:0001263,Cognitive delay,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:15956,Biotin,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:7211084', 'PMC:7274502', 'PMC:5471405', 'PMC:5428951', 'PMC:4885158']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:biothings-explorer,
e637fb09-43ab-495f-ac9c-fc71f22abc04,infores:biothings-explorer,valproate semisodium,CHEBI:4667,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,2,0.996,0.996,0.0,0.0,0.498,99.49,False,-0.0,False,0.995,False,-0.0,True,0.172,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,2,medik:creative_edge#6,HP:0001263,Cognitive delay,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:SmallMolecule', 'biolink:MolecularMixture']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
e637fb09-43ab-495f-ac9c-fc71f22abc04,infores:biothings-explorer,valproate semisodium,CHEBI:4667,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,2,0.996,0.996,0.0,0.0,0.498,99.49,False,-0.0,False,0.995,False,-0.0,True,0.172,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,2,medik:edge#6,HP:0001263,Cognitive delay,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:SmallMolecule', 'biolink:MolecularMixture']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:4782549', 'PMC:2952912', 'PMC:8719846']",DEFAULT PHRASE,infores:text-mining-provider-targeted,3,infores:unsecret-agent,
e637fb09-43ab-495f-ac9c-fc71f22abc04,infores:biothings-explorer,valproate semisodium,CHEBI:4667,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,2,0.996,0.996,0.0,0.0,0.498,99.49,False,-0.0,False,0.995,False,-0.0,True,0.172,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,2,medik:creative_edge#12,HP:0001263,Cognitive delay,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:SmallMolecule', 'biolink:MolecularMixture']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
e637fb09-43ab-495f-ac9c-fc71f22abc04,infores:biothings-explorer,valproate semisodium,CHEBI:4667,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,2,0.996,0.996,0.0,0.0,0.498,99.49,False,-0.0,False,0.995,False,-0.0,True,0.172,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,2,medik:edge#12,HP:0001263,Cognitive delay,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:SmallMolecule', 'biolink:MolecularMixture']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:2952912', 'PMC:8719846']",DEFAULT PHRASE,infores:text-mining-provider-targeted,2,infores:unsecret-agent,
