pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1
5e451c60-f11c-4cd5-92bd-2e5f3957fe45,infores:unsecret-agent,imatinib methanesulfonate,CHEBI:31690,biolink:SmallMolecule,Hypoplasia of the corpus callosum,HP:0002079,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#1,HP:0002079,Hypoplasia of the corpus callosum,['biolink:Disease'],biolink:Disease,CHEBI:31690,imatinib methanesulfonate,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
5e451c60-f11c-4cd5-92bd-2e5f3957fe45,infores:unsecret-agent,imatinib methanesulfonate,CHEBI:31690,biolink:SmallMolecule,Hypoplasia of the corpus callosum,HP:0002079,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#2,NCBIGene:673,BRAF,['biolink:Gene'],biolink:Gene,CHEBI:31690,imatinib methanesulfonate,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,[],one-hop,,,,,,,,,['PMID:27924459'],DEFAULT PHRASE,infores:dgidb,1,infores:unsecret-agent
5e451c60-f11c-4cd5-92bd-2e5f3957fe45,infores:unsecret-agent,imatinib methanesulfonate,CHEBI:31690,biolink:SmallMolecule,Hypoplasia of the corpus callosum,HP:0002079,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#3,HP:0002079,Hypoplasia of the corpus callosum,['biolink:Disease'],biolink:Disease,NCBIGene:673,BRAF,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,['PMID:16439621'],DEFAULT PHRASE,infores:disgenet,1,infores:unsecret-agent
5e451c60-f11c-4cd5-92bd-2e5f3957fe45,infores:unsecret-agent,Temsirolimus,CHEBI:79699,biolink:SmallMolecule,Hypoplasia of the corpus callosum,HP:0002079,biolink:Disease,2,0.992,0.992,0.0,0.0,0.496,99.2,False,-0.0,False,0.992,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:creative_edge#0,HP:0002079,Hypoplasia of the corpus callosum,['biolink:Disease'],biolink:Disease,CHEBI:79699,Temsirolimus,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
5e451c60-f11c-4cd5-92bd-2e5f3957fe45,infores:unsecret-agent,Temsirolimus,CHEBI:79699,biolink:SmallMolecule,Hypoplasia of the corpus callosum,HP:0002079,biolink:Disease,2,0.992,0.992,0.0,0.0,0.496,99.2,False,-0.0,False,0.992,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:edge#0,NCBIGene:673,BRAF,['biolink:Gene'],biolink:Gene,CHEBI:79699,Temsirolimus,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,[],one-hop,,,,,,,,,['PMID:21216929'],DEFAULT PHRASE,infores:dgidb,1,infores:unsecret-agent
5e451c60-f11c-4cd5-92bd-2e5f3957fe45,infores:unsecret-agent,Temsirolimus,CHEBI:79699,biolink:SmallMolecule,Hypoplasia of the corpus callosum,HP:0002079,biolink:Disease,2,0.992,0.992,0.0,0.0,0.496,99.2,False,-0.0,False,0.992,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:edge#1,HP:0002079,Hypoplasia of the corpus callosum,['biolink:Disease'],biolink:Disease,NCBIGene:673,BRAF,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,['PMID:16439621'],DEFAULT PHRASE,infores:disgenet,1,infores:unsecret-agent
5e451c60-f11c-4cd5-92bd-2e5f3957fe45,infores:unsecret-agent,Hormone Antagonists,UMLS:C0019927,biolink:Drug,Hypoplasia of the corpus callosum,HP:0002079,biolink:Disease,3,0.984,0.984,0.0,0.0,0.492,98.4,False,-0.0,False,0.984,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:creative_edge#2,HP:0002079,Hypoplasia of the corpus callosum,['biolink:Disease'],biolink:Disease,UMLS:C0019927,Hormone Antagonists,['biolink:Drug'],biolink:Drug,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
5e451c60-f11c-4cd5-92bd-2e5f3957fe45,infores:unsecret-agent,Hormone Antagonists,UMLS:C0019927,biolink:Drug,Hypoplasia of the corpus callosum,HP:0002079,biolink:Disease,3,0.984,0.984,0.0,0.0,0.492,98.4,False,-0.0,False,0.984,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:edge#4,NCBIGene:673,BRAF,['biolink:Gene'],biolink:Gene,UMLS:C0019927,Hormone Antagonists,['biolink:Drug'],biolink:Drug,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,['PMID:30640701'],Hormone Antagonists causes decreased activity of BRAF,infores:semmeddb,1,infores:unsecret-agent
5e451c60-f11c-4cd5-92bd-2e5f3957fe45,infores:unsecret-agent,Hormone Antagonists,UMLS:C0019927,biolink:Drug,Hypoplasia of the corpus callosum,HP:0002079,biolink:Disease,3,0.984,0.984,0.0,0.0,0.492,98.4,False,-0.0,False,0.984,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:edge#5,HP:0002079,Hypoplasia of the corpus callosum,['biolink:Disease'],biolink:Disease,NCBIGene:673,BRAF,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,['PMID:16439621'],DEFAULT PHRASE,infores:disgenet,1,infores:unsecret-agent
5e451c60-f11c-4cd5-92bd-2e5f3957fe45,infores:unsecret-agent,"4-((4-ethylpiperazin-1-yl)methyl)-N-((1S,1aS,6bS)-5-((2-oxo-1,2,3,4-tetrahydropyrido[2,3-d]pyrimidin-5-yl)oxy)-1a,6b-dihydro-1H-cyclopropa[b]benzofuran-1-yl)-3-(trifluoromethyl)benzamide",PUBCHEM.COMPOUND:117807447,biolink:SmallMolecule,Hypoplasia of the corpus callosum,HP:0002079,biolink:Disease,4,0.976,0.976,0.0,0.0,0.488,97.6,False,-0.0,False,0.976,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,4,medik:creative_edge#88,HP:0002079,Hypoplasia of the corpus callosum,['biolink:Disease'],biolink:Disease,PUBCHEM.COMPOUND:117807447,"4-((4-ethylpiperazin-1-yl)methyl)-N-((1S,1aS,6bS)-5-((2-oxo-1,2,3,4-tetrahydropyrido[2,3-d]pyrimidin-5-yl)oxy)-1a,6b-dihydro-1H-cyclopropa[b]benzofuran-1-yl)-3-(trifluoromethyl)benzamide",['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
