pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,agg1,publications_count,agg2
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Rocuronium,CHEBI:8884,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.699,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,1,391cb4d23e20c295835818b07047e5ae,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:8884,Rocuronium,"['biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:Drug', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:biothings-explorer,0,
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Rocuronium,CHEBI:8884,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.699,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,1,inferred-CHEBI:8884-treats-HP:0001252,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:8884,Rocuronium,"['biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:Drug', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,,0,
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Rocuronium,CHEBI:8884,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.699,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,1,b8b56b62a0bcf952696b63946387f8cb,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:8884,Rocuronium,"['biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:Drug', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:biothings-explorer,0,
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Rocuronium,CHEBI:8884,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.699,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,1,093ba44eed898e0ce8d6a46298c5852f,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:8884,Rocuronium,"['biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:Drug', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,['PMC:8383707'],DEFAULT PHRASE,infores:text-mining-provider-targeted,infores:biothings-explorer,1,
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Rocuronium,CHEBI:8884,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.699,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,1,1d35e74e4b1235dbae626ec651850e35,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:8884,Rocuronium,"['biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:Drug', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:10939689', 'PMID:12323029', 'PMID:11960492', 'PMID:14977802', 'PMID:23422529', 'PMID:12170048', 'PMID:9260018', 'PMID:11473558', 'PMID:21786524', 'PMID:29704050', 'PMID:22012861', 'PMID:31725475']",DEFAULT PHRASE,infores:semmeddb,infores:biothings-semmeddb,12,infores:biothings-explorer
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Rocuronium,CHEBI:8884,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.699,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,1,infores:multiomics-clinicaltrials:UNII:I65MW4OFHZ--biolink:treats--None--None--None--HP:0001252--infores:multiomics-clinicaltrials,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:8884,Rocuronium,"['biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:Drug', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:arax,0,
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Rocuronium,CHEBI:8884,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.699,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,1,infores:multiomics-clinicaltrials:UNII:WRE554RFEZ--biolink:treats--None--None--None--HP:0001252--infores:multiomics-clinicaltrials,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:8884,Rocuronium,"['biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:Drug', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:arax,0,
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Rocuronium,CHEBI:8884,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,True,0.699,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,1,infores:molepro:CHEBI:8884--biolink:treats--None--None--None--HP:0001252--infores:sider,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:8884,Rocuronium,"['biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:Drug', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:sider,infores:molepro,0,infores:arax
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Atracurium,CHEBI:2914,biolink:SmallMolecule,2,0.962,0.962,0.0,0.0,0.481,82.258,False,-0.0,False,-0.0,False,-0.0,True,0.353,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,2,inferred-CHEBI:2914-treats-HP:0001252,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:2914,Atracurium,"['biolink:SmallMolecule', 'biolink:Drug', 'biolink:MolecularMixture']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,,0,
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Atracurium,CHEBI:2914,biolink:SmallMolecule,2,0.962,0.962,0.0,0.0,0.481,82.258,False,-0.0,False,-0.0,False,-0.0,True,0.353,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,2,b777f4d1812d65aa1bca02312a67f407,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:2914,Atracurium,"['biolink:SmallMolecule', 'biolink:Drug', 'biolink:MolecularMixture']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:3754098', 'PMID:6688332', 'PMID:7902637', 'PMID:16269882', 'PMID:8895271', 'PMID:3239728', 'PMID:2939574', 'PMID:1300858', 'PMID:1878236', 'PMID:7743575', 'PMID:12577164', 'PMID:19499866', 'PMID:7788192', 'PMID:9428564', 'PMID:14649346', 'PMID:8416449', 'PMID:19999600', 'PMID:9075035', 'PMID:29553432']",DEFAULT PHRASE,infores:semmeddb,infores:biothings-semmeddb,19,infores:biothings-explorer
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Atracurium,CHEBI:2914,biolink:SmallMolecule,2,0.962,0.962,0.0,0.0,0.481,82.258,False,-0.0,False,-0.0,False,-0.0,True,0.353,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,2,infores:molepro:PUBCHEM.COMPOUND:47320--biolink:treats--None--None--None--HP:0001252--infores:sider,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:2914,Atracurium,"['biolink:SmallMolecule', 'biolink:Drug', 'biolink:MolecularMixture']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:sider,infores:molepro,0,infores:arax
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Atracurium,CHEBI:2914,biolink:SmallMolecule,2,0.962,0.962,0.0,0.0,0.481,82.258,False,-0.0,False,-0.0,False,-0.0,True,0.353,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,2,infores:molepro:CHEBI:2914--biolink:treats--None--None--None--HP:0001252--infores:sider,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:2914,Atracurium,"['biolink:SmallMolecule', 'biolink:Drug', 'biolink:MolecularMixture']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:sider,infores:molepro,0,infores:arax
79c48dfe-4e91-4f33-9a28-b87acabc3c6a,infores:arax,Hypotonia,HP:0001252,biolink:PhenotypicFeature,Vecuronium,CHEBI:9939,biolink:SmallMolecule,3,0.925,0.925,0.0,0.0,0.462,83.871,False,-0.0,False,-0.0,False,-0.0,True,0.362,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,3,inferred-CHEBI:9939-treats-HP:0001252,HP:0001252,Hypotonia,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:9939,Vecuronium,"['biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:Drug', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,,0,
