pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
a84ece80-218d-4432-9689-7bbe207c190c,infores:unsecret-agent,Acetazolamide,CHEBI:27690,biolink:SmallMolecule,Increased reactive oxygen species production,HP:0025464,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#0,HP:0025464,Increased reactive oxygen species production,"['biolink:PhenotypicFeature', 'biolink:Disease']",biolink:PhenotypicFeature,CHEBI:27690,Acetazolamide,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
a84ece80-218d-4432-9689-7bbe207c190c,infores:unsecret-agent,Acetazolamide,CHEBI:27690,biolink:SmallMolecule,Increased reactive oxygen species production,HP:0025464,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#0,NCBIGene:760,CA2,['biolink:Gene'],biolink:Gene,CHEBI:27690,Acetazolamide,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,"['PMID:31629164', 'PMID:23664215', 'PMID:26422787', 'PMID:31394463', 'PMID:25846066', 'PMID:33667848', 'PMID:21620713', 'PMID:20580561', 'PMID:14736236', 'PMID:24589484', 'PMID:21377369', 'PMID:30071407', 'PMID:28389112', 'PMID:25432060', 'PMID:16942027', 'PMID:20211561', 'PMID:18640037', 'PMID:23200251', 'PMID:26073005', 'PMID:15084132', 'PMID:27939347', 'PMID:23414801', 'PMID:27144971', 'PMID:28111158', 'PMID:31472471', 'PMID:24560737', 'PMID:31542715', 'PMID:26832216', 'PMID:32388113', 'PMID:28754318', 'PMID:33214843', 'PMID:28728897', 'PMID:24200125', 'PMID:33721499', 'PMID:15456265', 'PMID:24878360', 'PMID:26741028', 'PMID:34482273', 'PMID:24461298', 'PMID:28272885', 'PMID:19539481', 'PMID:26850377', 'PMID:33975138', 'PMID:26497049', 'PMID:33965860', 'PMID:29152053', 'PMID:33523653', 'PMID:33609663', 'PMID:29259754', 'PMID:32044580', 'PMID:30594030', 'PMID:24287559', 'PMID:33581552', 'PMID:28109946', 'PMID:29566486', 'PMID:32485534', 'PMID:26174556', 'PMID:30344915', 'PMID:25267005', 'PMID:33038795', 'PMID:20185318', 'PMID:26875933', 'PMID:19231207', 'PMID:31515057', 'PMID:25310626', 'PMID:29407972', 'PMID:33234343', 'PMID:23072866', 'PMID:32460112', 'PMID:24746465', 'PMID:21163660', 'PMID:22276570', 'PMID:32659606', 'PMID:17376683', 'PMID:28057408', 'PMID:21208801', 'PMID:25442309', 'PMID:28545816', 'PMID:20624682', 'PMID:30996814', 'PMID:24210500', 'PMID:14684331', 'PMID:33059188', 'PMID:21549597', 'PMID:15603956', 'PMID:29259736', 'PMID:30344913', 'PMID:29851481', 'PMID:33640672', 'PMID:23827177', 'PMID:16039848', 'PMID:14684333', 'PMID:14971907', 'PMID:28347633', 'PMID:30746068', 'PMID:23842519', 'PMID:16302824', 'PMID:19450983', 'PMID:33866238', 'PMID:32203788', 'PMID:34052322', 'PMID:23490152', 'PMID:23290254', 'PMID:31718943', 'PMID:24128000', 'PMID:27823879', 'PMID:29909339', 'PMID:11906288', 'PMID:27253845', 'PMID:25882523', 'PMID:21851094', 'PMID:31972394', 'PMID:31859159', 'PMID:30925064', 'PMID:11123998', 'PMID:15139757', 'PMID:25019479', 'PMID:31476557', 'PMID:26007302', 'PMID:31071549', 'PMID:27290692', 'PMID:25753329', 'PMID:15837325', 'PMID:28511907', 'PMID:23769167', 'PMID:15012984', 'PMID:29684705', 'PMID:23352754', 'PMID:15686895', 'PMID:33773285', 'PMID:19731956', 'PMID:19751975', 'PMID:30530195', 'PMID:16290146', 'PMID:23647428', 'PMID:17826101', 'PMID:27137360', 'PMID:24650641', 'PMID:19097911', 'PMID:30445264', 'PMID:26795114', 'PMID:29146134', 'PMID:15664816', 'PMID:25766630', 'PMID:21361354', 'PMID:28947941', 'PMID:28238511', 'PMID:28835790', 'PMID:15454239', 'PMID:26088336', 'PMID:34237441', 'PMID:24560739', 'PMID:17822907', 'PMID:22883029', 'PMID:33905966', 'PMID:25875209', 'PMID:19193158', 'PMID:24871996', 'PMID:23078755', 'PMID:26691758', 'PMID:26804228', 'PMID:29852328', 'PMID:34507012', 'PMID:24792813', 'PMID:24948563', 'PMID:19317447', 'PMID:27919611', 'PMID:8201598', 'PMID:23623256', 'PMID:20472429', 'PMID:17125255', 'PMID:29803994', 'PMID:23706268', 'PMID:34216985', 'PMID:21570835', 'PMID:14611846', 'PMID:20201556', 'PMID:26796953', 'PMID:27396930', 'PMID:15837323', 'PMID:28024887', 'PMID:8340917', 'PMID:23859774', 'PMID:15908204', 'PMID:24507918', 'PMID:25194929', 'PMID:19435663', 'PMID:18353640', 'PMID:20598552', 'PMID:26810836', 'PMID:26105196', 'PMID:19186056', 'PMID:29571155', 'PMID:15686894', 'PMID:24589511', 'PMID:28237553', 'PMID:30996772', 'PMID:28256371', 'PMID:21145236', 'PMID:23965175', 'PMID:12617909', 'PMID:21470859', 'PMID:20036446', 'PMID:31419777', 'PMID:23241068', 'PMID:28789908', 'PMID:15501040', 'PMID:18359629', 'PMID:33303238', 'PMID:25050173', 'PMID:17276072', 'PMID:24291567', 'PMID:23815159', 'PMID:30034608', 'PMID:18307288', 'PMID:29635168', 'PMID:27657811', 'PMID:12747791', 'PMID:21420862', 'PMID:25912674', 'PMID:16168653', 'PMID:28343756', 'PMID:31413806', 'PMID:15081039', 'PMID:20202722', 'PMID:26951893', 'PMID:15501039', 'PMID:30193219', 'PMID:28277280', 'PMID:11087579', 'PMID:19053764', 'PMID:20590092', 'PMID:23910989', 'PMID:24314394', 'PMID:14684332', 'PMID:28065499', 'PMID:29746127', 'PMID:34371130', 'PMID:24332658', 'PMID:31794211', 'PMID:25773015', 'PMID:2585443', 'PMID:2585439', 'PMID:19651511', 'PMID:25129169', 'PMID:31515058', 'PMID:28887000', 'PMID:21506569', 'PMID:23429054', 'PMID:25255434', 'PMID:28522267', 'PMID:24518190', 'PMID:26264840', 'PMID:23867389', 'PMID:18513964', 'PMID:16203142', 'PMID:21852133', 'PMID:24189056', 'PMID:26073006', 'PMID:26840366', 'PMID:23168081', 'PMID:29962205', 'PMID:25358036', 'PMID:27485387', 'PMID:32364386', 'PMID:19338333', 'PMID:23777898', 'PMID:27298005', 'PMID:25921266', 'PMID:26191373', 'PMID:25863492', 'PMID:27316543', 'PMID:32463228', 'PMID:30015076', 'PMID:32877804', 'PMID:32435395', 'PMID:32007388', 'PMID:28318894', 'PMID:33214840', 'PMID:25468040', 'PMID:30826507', 'PMID:19438226', 'PMID:15686931', 'PMID:19286378', 'PMID:19119014', 'PMID:26203869', 'PMID:26688270', 'PMID:22245047', 'PMID:18501600', 'PMID:21332115', 'PMID:32031797', 'PMID:20554082', 'PMID:19527930', 'PMID:17681760', 'PMID:27068142', 'PMID:31287314', 'PMID:25050167', 'PMID:23176597', 'PMID:17228881', 'PMID:22775345', 'PMID:26803577', 'PMID:19520577', 'PMID:25147616', 'PMID:24300919', 'PMID:24090602', 'PMID:28025002', 'PMID:25011913', 'PMID:16640335', 'PMID:26233796', 'PMID:33085484', 'PMID:18042384', 'PMID:26145820', 'PMID:19375309', 'PMID:2810337', 'PMID:11229775', 'PMID:16165351', 'PMID:30258546', 'PMID:21402476', 'PMID:16039853', 'PMID:27234893', 'PMID:28075587', 'PMID:25757603', 'PMID:21821413', 'PMID:25438758', 'PMID:24813742', 'PMID:28947945', 'PMID:22424239', 'PMID:21515057', 'PMID:26678172', 'PMID:27469982', 'PMID:20478708', 'PMID:12617903', 'PMID:19580287', 'PMID:22443141', 'PMID:32435377', 'PMID:21300547', 'PMID:17343373', 'PMID:14698154', 'PMID:27876475', 'PMID:28886996', 'PMID:28802125', 'PMID:18990571', 'PMID:25456084', 'PMID:15905091', 'PMID:12166932', 'PMID:32327349', 'PMID:21820216', 'PMID:27884694', 'PMID:18295485', 'PMID:28511911', 'PMID:22901388', 'PMID:26498393', 'PMID:17475500', 'PMID:33774343', 'PMID:16539401', 'PMID:26525863', 'PMID:19827837', 'PMID:19124253', 'PMID:16033263', 'PMID:27933963', 'PMID:28416101', 'PMID:15203157', 'PMID:31276899', 'PMID:24074025', 'PMID:28400084', 'PMID:26233435', 'PMID:31539777', 'PMID:29057059', 'PMID:22386980', 'PMID:32435417', 'PMID:32435420', 'PMID:23317571', 'PMID:26520662', 'PMID:26810710', 'PMID:32519851', 'PMID:29197732', 'PMID:12747790', 'PMID:21251841', 'PMID:28334643', 'PMID:23769640', 'PMID:26432607', 'PMID:12039560', 'PMID:23265898', 'PMID:31387062', 'PMID:27283786', 'PMID:21757360', 'PMID:11784136', 'PMID:28658574', 'PMID:20028100', 'PMID:33744685', 'PMID:27166574', 'PMID:12617904', 'PMID:24713308', 'PMID:27172398', 'PMID:25168748', 'PMID:22230050', 'PMID:19846301', 'PMID:26048024', 'PMID:26408817', 'PMID:24513184', 'PMID:22370338', 'PMID:30846402', 'PMID:16459077', 'PMID:15771438', 'PMID:15908201', 'PMID:26347950', 'PMID:31901743', 'PMID:32223141', 'PMID:28302505', 'PMID:32485532', 'PMID:12643899', 'PMID:31401537', 'PMID:17064072', 'PMID:28161252', 'PMID:16809036', 'PMID:26920803', 'PMID:31693947', 'PMID:24513186', 'PMID:32209296', 'PMID:25581127', 'PMID:26068018', 'PMID:33640442', 'PMID:18579385', 'PMID:25168745', 'PMID:20605094', 'PMID:31972093', 'PMID:19121582', 'PMID:31136893', 'PMID:32435363', 'PMID:28253618', 'PMID:15837316', 'PMID:15771455', 'PMID:30433782', 'PMID:14640555', 'PMID:29912561', 'PMID:23391336', 'PMID:25533402', 'PMID:27423482', 'PMID:34147910', 'PMID:25921269', 'PMID:25027802', 'PMID:29795760']",Acetazolamide causes decreased activity of CA2,infores:pharos,442,infores:unsecret-agent,
a84ece80-218d-4432-9689-7bbe207c190c,infores:unsecret-agent,Acetazolamide,CHEBI:27690,biolink:SmallMolecule,Increased reactive oxygen species production,HP:0025464,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#1,HP:0025464,Increased reactive oxygen species production,"['biolink:PhenotypicFeature', 'biolink:Disease']",biolink:PhenotypicFeature,NCBIGene:760,CA2,['biolink:Gene'],biolink:Gene,biolink:causes,[],one-hop,,,,,,,,,"['PMID:10674630', 'PMID:17980701', 'PMID:21677120', 'PMID:25459147', 'PMID:28337252', 'PMID:28930754', 'PMID:29913444', 'PMID:30159781', 'PMID:31382384', 'PMID:8294901', 'PMID:8512585', 'PMID:9015747']",DEFAULT PHRASE,infores:semmeddb,12,infores:unsecret-agent,
a84ece80-218d-4432-9689-7bbe207c190c,infores:unsecret-agent,Acetazolamide,CHEBI:27690,biolink:SmallMolecule,Increased reactive oxygen species production,HP:0025464,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#24,HP:0025464,Increased reactive oxygen species production,"['biolink:PhenotypicFeature', 'biolink:Disease']",biolink:PhenotypicFeature,CHEBI:27690,Acetazolamide,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
a84ece80-218d-4432-9689-7bbe207c190c,infores:unsecret-agent,Acetazolamide,CHEBI:27690,biolink:SmallMolecule,Increased reactive oxygen species production,HP:0025464,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#48,NCBIGene:760,CA2,['biolink:Gene'],biolink:Gene,CHEBI:27690,Acetazolamide,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,"['PMID:10882008', 'PMID:12166932', 'PMID:12767917', 'PMID:26642829', 'PMID:28043719', 'PMID:20860527', 'PMID:20553118', 'PMID:21612376', 'PMID:22188522', 'PMID:22957724', 'PMID:22994608', 'PMID:8201598', 'PMID:8340917', 'PMID:23664215', 'PMID:24650641', 'PMID:24813742', 'PMID:24948563', 'PMID:25863492', 'PMID:18295485', 'PMID:18353640', 'PMID:19362844', 'PMID:27068142', 'PMID:20036446', 'PMID:20724038', 'PMID:12617909', 'PMID:14698154', 'PMID:28334643', 'PMID:28511907', 'PMID:27657811', 'PMID:28886996', 'PMID:20006931', 'PMID:23176597', 'PMID:23429054', 'PMID:29852328', 'PMID:23777898', 'PMID:31345748', 'PMID:32209296', 'PMID:32388113', 'PMID:33523653', 'PMID:33234343', 'PMID:33640672', 'PMID:33905966', 'PMID:34324968', 'PMID:34728369', 'PMID:33121862', 'PMID:32795767']",Acetazolamide causes decreased activity of CA2,infores:bindingdb,46,infores:unsecret-agent,
a84ece80-218d-4432-9689-7bbe207c190c,infores:unsecret-agent,Acetazolamide,CHEBI:27690,biolink:SmallMolecule,Increased reactive oxygen species production,HP:0025464,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#49,HP:0025464,Increased reactive oxygen species production,"['biolink:PhenotypicFeature', 'biolink:Disease']",biolink:PhenotypicFeature,NCBIGene:760,CA2,['biolink:Gene'],biolink:Gene,biolink:causes,[],one-hop,,,,,,,,,"['PMID:10674630', 'PMID:17980701', 'PMID:21677120', 'PMID:25459147', 'PMID:28337252', 'PMID:28930754', 'PMID:29913444', 'PMID:30159781', 'PMID:31382384', 'PMID:8294901', 'PMID:8512585', 'PMID:9015747']",DEFAULT PHRASE,infores:semmeddb,12,infores:unsecret-agent,
a84ece80-218d-4432-9689-7bbe207c190c,infores:arax,Increased reactive oxygen species production,HP:0025464,biolink:PhenotypicFeature,Acetylcysteine,CHEBI:28939,biolink:SmallMolecule,2,0.999,0.999,0.0,0.0,0.5,98.773,False,-0.0,False,-0.0,False,-0.0,True,0.585,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,2,3352f8f63aabc08d7fd0914dee8f7284,HP:0025464,Increased reactive oxygen species production,"['biolink:PhenotypicFeature', 'biolink:Disease']",biolink:PhenotypicFeature,CHEBI:28939,Acetylcysteine,"['biolink:SmallMolecule', 'biolink:Drug', 'biolink:Protein', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
a84ece80-218d-4432-9689-7bbe207c190c,infores:arax,Increased reactive oxygen species production,HP:0025464,biolink:PhenotypicFeature,Acetylcysteine,CHEBI:28939,biolink:SmallMolecule,2,0.999,0.999,0.0,0.0,0.5,98.773,False,-0.0,False,-0.0,False,-0.0,True,0.585,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,2,inferred-CHEBI:28939-treats-HP:0025464,HP:0025464,Increased reactive oxygen species production,"['biolink:PhenotypicFeature', 'biolink:Disease']",biolink:PhenotypicFeature,CHEBI:28939,Acetylcysteine,"['biolink:SmallMolecule', 'biolink:Drug', 'biolink:Protein', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
a84ece80-218d-4432-9689-7bbe207c190c,infores:arax,Increased reactive oxygen species production,HP:0025464,biolink:PhenotypicFeature,Acetylcysteine,CHEBI:28939,biolink:SmallMolecule,2,0.999,0.999,0.0,0.0,0.5,98.773,False,-0.0,False,-0.0,False,-0.0,True,0.585,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,2,b16a122b2f75dea55830824be8b1dca5,HP:0025464,Increased reactive oxygen species production,"['biolink:PhenotypicFeature', 'biolink:Disease']",biolink:PhenotypicFeature,CHEBI:28939,Acetylcysteine,"['biolink:SmallMolecule', 'biolink:Drug', 'biolink:Protein', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
a84ece80-218d-4432-9689-7bbe207c190c,infores:arax,Increased reactive oxygen species production,HP:0025464,biolink:PhenotypicFeature,Acetylcysteine,CHEBI:28939,biolink:SmallMolecule,2,0.999,0.999,0.0,0.0,0.5,98.773,False,-0.0,False,-0.0,False,-0.0,True,0.585,False,-0.0,"['infores:biothings-explorer', 'infores:arax']",2,2,infores:multiomics-clinicaltrials:CHEBI:28939--biolink:treats--None--None--None--HP:0025464--infores:multiomics-clinicaltrials,HP:0025464,Increased reactive oxygen species production,"['biolink:PhenotypicFeature', 'biolink:Disease']",biolink:PhenotypicFeature,CHEBI:28939,Acetylcysteine,"['biolink:SmallMolecule', 'biolink:Drug', 'biolink:Protein', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:arax,
