pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
76262119-e2a8-4cfd-9800-dc0eea016ec1,infores:unsecret-agent,intellectual disability,MONDO:0001071,biolink:Disease,Fluoxetine,CHEBI:5118,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,52.419,False,-0.0,False,1.0,False,-0.0,True,0.246,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,inferred-CHEBI:5118-treats-MONDO:0001071,MONDO:0001071,intellectual disability,"['biolink:Disease', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Entity', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:5118,Fluoxetine,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
76262119-e2a8-4cfd-9800-dc0eea016ec1,infores:unsecret-agent,intellectual disability,MONDO:0001071,biolink:Disease,Fluoxetine,CHEBI:5118,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,52.419,False,-0.0,False,1.0,False,-0.0,True,0.246,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,15db690351ea9e573e96b1208e8c4c8b,MONDO:0001071,intellectual disability,"['biolink:Disease', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Entity', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:5118,Fluoxetine,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3657560', 'PMC:4259988', 'PMC:4591203', 'PMC:3805750', 'PMC:4591203']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:biothings-explorer,
76262119-e2a8-4cfd-9800-dc0eea016ec1,infores:unsecret-agent,intellectual disability,MONDO:0001071,biolink:Disease,Fluoxetine,CHEBI:5118,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,52.419,False,-0.0,False,1.0,False,-0.0,True,0.246,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:creative_edge#1,MONDO:0001071,intellectual disability,"['biolink:Disease', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Entity', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:5118,Fluoxetine,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
76262119-e2a8-4cfd-9800-dc0eea016ec1,infores:unsecret-agent,intellectual disability,MONDO:0001071,biolink:Disease,Fluoxetine,CHEBI:5118,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,52.419,False,-0.0,False,1.0,False,-0.0,True,0.246,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:edge#1,MONDO:0001071,intellectual disability,"['biolink:Disease', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Entity', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:5118,Fluoxetine,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3657560', 'PMC:4259988', 'PMC:4591203', 'PMC:3805750']",DEFAULT PHRASE,infores:text-mining-provider-targeted,4,infores:unsecret-agent,
76262119-e2a8-4cfd-9800-dc0eea016ec1,infores:unsecret-agent,intellectual disability,MONDO:0001071,biolink:Disease,Fluoxetine,CHEBI:5118,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,52.419,False,-0.0,False,1.0,False,-0.0,True,0.246,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:creative_edge#8,MONDO:0001071,intellectual disability,"['biolink:Disease', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Entity', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:5118,Fluoxetine,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
76262119-e2a8-4cfd-9800-dc0eea016ec1,infores:unsecret-agent,intellectual disability,MONDO:0001071,biolink:Disease,Fluoxetine,CHEBI:5118,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,52.419,False,-0.0,False,1.0,False,-0.0,True,0.246,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:edge#8,MONDO:0001071,intellectual disability,"['biolink:Disease', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Entity', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:5118,Fluoxetine,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3805750', 'PMC:3420490', 'PMC:4591203', 'PMC:3735126']",DEFAULT PHRASE,infores:text-mining-provider-targeted,4,infores:unsecret-agent,
76262119-e2a8-4cfd-9800-dc0eea016ec1,infores:arax,Risperidone,CHEBI:8871,biolink:SmallMolecule,Smith-Magenis syndrome,MONDO:0008434,biolink:Disease,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:molepro:CHEBI:8871--biolink:treats--None--None--None--MONDO:0001071--infores:ctd,MONDO:0001071,intellectual disability,"['biolink:Disease', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Entity', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:8871,Risperidone,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:Entity', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,['PMID:18349709'],DEFAULT PHRASE,infores:ctd,1,infores:molepro,infores:arax
76262119-e2a8-4cfd-9800-dc0eea016ec1,infores:arax,Risperidone,CHEBI:8871,biolink:SmallMolecule,Smith-Magenis syndrome,MONDO:0008434,biolink:Disease,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,creative_DTD_prediction_0,MONDO:0001071,intellectual disability,"['biolink:Disease', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Entity', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:8871,Risperidone,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:MolecularMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:Entity', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,,creative,,,,,,,,,[],DEFAULT PHRASE,infores:arax,0,,
76262119-e2a8-4cfd-9800-dc0eea016ec1,infores:arax,Risperidone,CHEBI:8871,biolink:SmallMolecule,Smith-Magenis syndrome,MONDO:0008434,biolink:Disease,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:rtx-kg2:NCBIGene:11160--biolink:gene_associated_with_condition--None--None--None--MONDO:0001071--infores:diseases,MONDO:0001071,intellectual disability,"['biolink:Disease', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Entity', 'biolink:BiologicalEntity']",biolink:Disease,NCBIGene:11160,ERLIN2,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,,one-hop,,,,,,,,,"['PMID:24482476', 'PMID:27824013', 'PMID:34946884', 'PMID:38162912', 'PMID:23897027', 'PMID:21626140', 'PMID:33530447', 'PMID:34901147', 'PMID:34041268', 'PMID:12469345', 'PMID:36030824', 'PMID:32042907', 'PMID:22540978', 'PMID:32698834', 'PMID:34113825', 'PMID:24651605', 'PMID:32180696', 'PMID:21796390', 'PMID:34025345', 'PMID:37166702']",DEFAULT PHRASE,infores:diseases,20,infores:rtx-kg2,infores:arax
76262119-e2a8-4cfd-9800-dc0eea016ec1,infores:arax,Risperidone,CHEBI:8871,biolink:SmallMolecule,Smith-Magenis syndrome,MONDO:0008434,biolink:Disease,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:rtx-kg2:NCBIGene:3354--biolink:physically_interacts_with--None--None--None--NCBIGene:3312--infores:intact,NCBIGene:3312,HSPA8,['biolink:Gene'],biolink:Gene,NCBIGene:3354,HTR1E,['biolink:Gene'],biolink:Gene,biolink:physically_interacts_with,,one-hop,,,,,,,,,['PMID:28514442'],DEFAULT PHRASE,infores:intact,1,infores:rtx-kg2,infores:arax
