pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
4f1a67e6-42dc-4374-a44a-4a02f73be1f5,infores:unsecret-agent,Botulinum Toxins,UMLS:C0006055,biolink:Drug,Temporomandibular joint dislocation,UMLS:C0159914,biolink:PathologicalProcess,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#164,UMLS:C0159914,Temporomandibular joint dislocation,['biolink:PathologicalProcess'],biolink:PathologicalProcess,UMLS:C0006055,Botulinum Toxins,['biolink:Drug'],biolink:Drug,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
4f1a67e6-42dc-4374-a44a-4a02f73be1f5,infores:unsecret-agent,Botulinum Toxins,UMLS:C0006055,biolink:Drug,Temporomandibular joint dislocation,UMLS:C0159914,biolink:PathologicalProcess,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#285,UMLS:C0159914,Temporomandibular joint dislocation,['biolink:PathologicalProcess'],biolink:PathologicalProcess,UMLS:C0006055,Botulinum Toxins,['biolink:Drug'],biolink:Drug,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,['PMID:20219583'],DEFAULT PHRASE,infores:semmeddb,1,infores:unsecret-agent,
4f1a67e6-42dc-4374-a44a-4a02f73be1f5,infores:arax,Lidocaine,CHEBI:6456,biolink:ChemicalEntityOrGeneOrGeneProduct,Shoulder dislocation,HP:0003834,biolink:PhenotypicFeature,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:multiomics-clinicaltrials:CHEBI:6456--biolink:treats--None--None--None--HP:0003834--infores:multiomics-clinicaltrials,HP:0003834,Shoulder dislocation,"['biolink:PhenotypicFeature', 'biolink:PathologicalProcess']",biolink:PhenotypicFeature,CHEBI:6456,Lidocaine,"['biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:SmallMolecule', 'biolink:ChemicalEntity', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:MolecularMixture', 'biolink:Drug']",biolink:ChemicalEntityOrGeneOrGeneProduct,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:arax,
4f1a67e6-42dc-4374-a44a-4a02f73be1f5,infores:arax,Lidocaine,CHEBI:6456,biolink:ChemicalEntityOrGeneOrGeneProduct,Shoulder dislocation,HP:0003834,biolink:PhenotypicFeature,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:rtx-kg2:CHEBI:6456--biolink:in_clinical_trials_for--None--None--None--HP:0003834--infores:multiomics-clinicaltrials,HP:0003834,Shoulder dislocation,"['biolink:PhenotypicFeature', 'biolink:PathologicalProcess']",biolink:PhenotypicFeature,CHEBI:6456,Lidocaine,"['biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:SmallMolecule', 'biolink:ChemicalEntity', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:MolecularMixture', 'biolink:Drug']",biolink:ChemicalEntityOrGeneOrGeneProduct,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:rtx-kg2,infores:arax
4f1a67e6-42dc-4374-a44a-4a02f73be1f5,infores:arax,Lidocaine,CHEBI:6456,biolink:ChemicalEntityOrGeneOrGeneProduct,Shoulder dislocation,HP:0003834,biolink:PhenotypicFeature,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:service-provider-trapi:CHEBI:6456--biolink:preventative_for_condition--None--None--None--HP:0001373--infores:service-provider-trapi,HP:0001373,Dislocation,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:PathologicalProcess']",biolink:PhenotypicFeature,CHEBI:6456,Lidocaine,"['biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:SmallMolecule', 'biolink:ChemicalEntity', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:MolecularMixture', 'biolink:Drug']",biolink:ChemicalEntityOrGeneOrGeneProduct,biolink:preventative_for_condition,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:service-provider-trapi,0,infores:arax,
4f1a67e6-42dc-4374-a44a-4a02f73be1f5,infores:arax,Lidocaine,CHEBI:6456,biolink:ChemicalEntityOrGeneOrGeneProduct,Shoulder dislocation,HP:0003834,biolink:PhenotypicFeature,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:rtx-kg2:CHEBI:6456--biolink:treats--None--None--None--HP:0003834--infores:multiomics-clinicaltrials,HP:0003834,Shoulder dislocation,"['biolink:PhenotypicFeature', 'biolink:PathologicalProcess']",biolink:PhenotypicFeature,CHEBI:6456,Lidocaine,"['biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:SmallMolecule', 'biolink:ChemicalEntity', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:MolecularMixture', 'biolink:Drug']",biolink:ChemicalEntityOrGeneOrGeneProduct,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:rtx-kg2,infores:arax
4f1a67e6-42dc-4374-a44a-4a02f73be1f5,infores:unsecret-agent,Golimumab,UNII:91X1KLU43E,biolink:Drug,ankylosing spondylitis,MONDO:0005306,biolink:Disease,3,0.996,0.817,0.0,0.996,0.907,81.739,False,-0.0,False,0.817,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:creative_edge#171,MONDO:0005306,ankylosing spondylitis,['biolink:Disease'],biolink:Disease,UNII:91X1KLU43E,Golimumab,['biolink:Drug'],biolink:Drug,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
4f1a67e6-42dc-4374-a44a-4a02f73be1f5,infores:unsecret-agent,Golimumab,UNII:91X1KLU43E,biolink:Drug,ankylosing spondylitis,MONDO:0005306,biolink:Disease,3,0.996,0.817,0.0,0.996,0.907,81.739,False,-0.0,False,0.817,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:edge#292,MONDO:0005306,ankylosing spondylitis,['biolink:Disease'],biolink:Disease,UNII:91X1KLU43E,Golimumab,['biolink:Drug'],biolink:Drug,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:31980911', 'PMID:32303994', 'PMID:32367407', 'PMID:32447529', 'PMID:32609555', 'PMID:32779120', 'PMID:32926247', 'PMID:33032770', 'PMID:33166729', 'PMID:33420967', 'PMID:33506892', 'PMID:34324171', 'PMID:35165766', 'PMID:35313978', 'PMID:35649533', 'PMID:36622116']",DEFAULT PHRASE,infores:semmeddb,16,infores:unsecret-agent,
4f1a67e6-42dc-4374-a44a-4a02f73be1f5,infores:unsecret-agent,Botulinum Toxins,UMLS:C0006055,biolink:Drug,Dislocation,HP:0001373,biolink:PhenotypicFeature,4,0.996,0.996,0.0,0.0,0.498,99.565,False,-0.0,False,0.996,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,4,medik:creative_edge#2,HP:0001373,Dislocation,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:PathologicalProcess']",biolink:PhenotypicFeature,UMLS:C0006055,Botulinum Toxins,['biolink:Drug'],biolink:Drug,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
4f1a67e6-42dc-4374-a44a-4a02f73be1f5,infores:unsecret-agent,Botulinum Toxins,UMLS:C0006055,biolink:Drug,Dislocation,HP:0001373,biolink:PhenotypicFeature,4,0.996,0.996,0.0,0.0,0.498,99.565,False,-0.0,False,0.996,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,4,medik:edge#3,HP:0001373,Dislocation,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:PathologicalProcess']",biolink:PhenotypicFeature,UMLS:C0006055,Botulinum Toxins,['biolink:Drug'],biolink:Drug,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:20844159', 'PMID:9917060']",DEFAULT PHRASE,infores:semmeddb,2,infores:unsecret-agent,
