pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
d4d523fd-0f59-42c2-858b-f8ffa479dab2,infores:unsecret-agent,Motor delay,HP:0001270,biolink:NamedThing,Cholecalciferol,CHEBI:27300,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,50.0,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,inferred-CHEBI:27300-treats-HP:0001270,HP:0001270,Motor delay,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:27300,Cholecalciferol,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
d4d523fd-0f59-42c2-858b-f8ffa479dab2,infores:unsecret-agent,Motor delay,HP:0001270,biolink:NamedThing,Cholecalciferol,CHEBI:27300,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,50.0,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,00248f1ec1a1b4ee818add33d8ccdd15,HP:0001270,Motor delay,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:27300,Cholecalciferol,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:6586450', 'PMC:6586450']",DEFAULT PHRASE,infores:text-mining-provider-targeted,2,infores:biothings-explorer,
d4d523fd-0f59-42c2-858b-f8ffa479dab2,infores:unsecret-agent,Motor delay,HP:0001270,biolink:NamedThing,Cholecalciferol,CHEBI:27300,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,50.0,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:creative_edge#0,HP:0001270,Motor delay,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:27300,Cholecalciferol,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
d4d523fd-0f59-42c2-858b-f8ffa479dab2,infores:unsecret-agent,Motor delay,HP:0001270,biolink:NamedThing,Cholecalciferol,CHEBI:27300,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,50.0,False,-0.0,False,1.0,False,-0.0,True,0.172,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,1,medik:edge#0,HP:0001270,Motor delay,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:27300,Cholecalciferol,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,['PMC:6586450'],DEFAULT PHRASE,infores:text-mining-provider-targeted,1,infores:unsecret-agent,
d4d523fd-0f59-42c2-858b-f8ffa479dab2,infores:unsecret-agent,Motor delay,HP:0001270,biolink:NamedThing,Fluoxetine,CHEBI:5118,biolink:ChemicalEntityOrGeneOrGeneProduct,2,0.999,0.999,0.0,0.0,0.5,100.0,False,-0.0,False,0.992,False,-0.0,True,0.172,True,0.911,"['infores:aragorn', 'infores:biothings-explorer', 'infores:unsecret-agent']",3,2,33b16d60-e67b-440d-8167-d3fc8abe18f8,HP:0001270,Motor delay,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:5118,Fluoxetine,"['biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:MolecularEntity', 'biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:ChemicalEntity', 'biolink:Drug', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Entity', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture']",biolink:ChemicalEntityOrGeneOrGeneProduct,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:aragorn,0,,
d4d523fd-0f59-42c2-858b-f8ffa479dab2,infores:unsecret-agent,Motor delay,HP:0001270,biolink:NamedThing,Fluoxetine,CHEBI:5118,biolink:ChemicalEntityOrGeneOrGeneProduct,2,0.999,0.999,0.0,0.0,0.5,100.0,False,-0.0,False,0.992,False,-0.0,True,0.172,True,0.911,"['infores:aragorn', 'infores:biothings-explorer', 'infores:unsecret-agent']",3,2,c5ae6e526d6f,HP:0001270,Motor delay,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon']",biolink:NamedThing,MONDO:0018940,congenital myasthenic syndrome,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Entity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,biolink:has_phenotype,"[{'qualifier_type_id': 'biolink:frequency_qualifier', 'qualifier_value': 'HP:0040283'}]",one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:hpo-annotations,0,infores:automat-monarchinitiative,infores:aragorn
d4d523fd-0f59-42c2-858b-f8ffa479dab2,infores:unsecret-agent,Motor delay,HP:0001270,biolink:NamedThing,Fluoxetine,CHEBI:5118,biolink:ChemicalEntityOrGeneOrGeneProduct,2,0.999,0.999,0.0,0.0,0.5,100.0,False,-0.0,False,0.992,False,-0.0,True,0.172,True,0.911,"['infores:aragorn', 'infores:biothings-explorer', 'infores:unsecret-agent']",3,2,1ebf558e841f,HP:0001270,Motor delay,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:5118,Fluoxetine,"['biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:MolecularEntity', 'biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:ChemicalEntity', 'biolink:Drug', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Entity', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture']",biolink:ChemicalEntityOrGeneOrGeneProduct,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:9017771', 'PMC:4462791']",DEFAULT PHRASE,infores:text-mining-provider-targeted,2,infores:service-provider-trapi,infores:aragorn
d4d523fd-0f59-42c2-858b-f8ffa479dab2,infores:unsecret-agent,Motor delay,HP:0001270,biolink:NamedThing,Fluoxetine,CHEBI:5118,biolink:ChemicalEntityOrGeneOrGeneProduct,2,0.999,0.999,0.0,0.0,0.5,100.0,False,-0.0,False,0.992,False,-0.0,True,0.172,True,0.911,"['infores:aragorn', 'infores:biothings-explorer', 'infores:unsecret-agent']",3,2,23a606847692,MONDO:0018940,congenital myasthenic syndrome,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Entity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:5118,Fluoxetine,"['biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:MolecularEntity', 'biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:ChemicalEntity', 'biolink:Drug', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Entity', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture']",biolink:ChemicalEntityOrGeneOrGeneProduct,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:6032286', 'PMC:4520251', 'PMC:3269564', 'PMC:7956382', 'PMC:5650981', 'PMC:5983836']",DEFAULT PHRASE,infores:text-mining-provider-targeted,6,infores:aragorn,infores:automat-robokop
d4d523fd-0f59-42c2-858b-f8ffa479dab2,infores:unsecret-agent,Motor delay,HP:0001270,biolink:NamedThing,Fluoxetine,CHEBI:5118,biolink:ChemicalEntityOrGeneOrGeneProduct,2,0.999,0.999,0.0,0.0,0.5,100.0,False,-0.0,False,0.992,False,-0.0,True,0.172,True,0.911,"['infores:aragorn', 'infores:biothings-explorer', 'infores:unsecret-agent']",3,2,8d6a49045efe,MONDO:0018940,congenital myasthenic syndrome,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Entity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:5118,Fluoxetine,"['biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:MolecularEntity', 'biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:ChemicalEntity', 'biolink:Drug', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Entity', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture']",biolink:ChemicalEntityOrGeneOrGeneProduct,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,['PMID:12771277'],DEFAULT PHRASE,infores:ctd,1,infores:automat-monarchinitiative,infores:aragorn
d4d523fd-0f59-42c2-858b-f8ffa479dab2,infores:unsecret-agent,Motor delay,HP:0001270,biolink:NamedThing,Fluoxetine,CHEBI:5118,biolink:ChemicalEntityOrGeneOrGeneProduct,2,0.999,0.999,0.0,0.0,0.5,100.0,False,-0.0,False,0.992,False,-0.0,True,0.172,True,0.911,"['infores:aragorn', 'infores:biothings-explorer', 'infores:unsecret-agent']",3,2,c862f4c92372,HP:0001270,Motor delay,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon']",biolink:NamedThing,MONDO:0018940,congenital myasthenic syndrome,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Entity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,biolink:has_phenotype,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:orphanet,0,infores:hpo-annotations,infores:aragorn
