pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
befd3262-81bb-4690-a996-4246a2724c33,infores:arax,Muscle stiffness,HP:0003552,biolink:PhenotypicFeature,Simvastatin,CHEBI:9150,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.142,False,-0.0,True,0.323,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,1,inferred-CHEBI:9150-treats-HP:0003552,HP:0003552,Muscle stiffness,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:9150,Simvastatin,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
befd3262-81bb-4690-a996-4246a2724c33,infores:arax,Muscle stiffness,HP:0003552,biolink:PhenotypicFeature,Simvastatin,CHEBI:9150,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.142,False,-0.0,True,0.323,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,1,7cd2f2df84a1d84e9e0d416909d7f455,HP:0003552,Muscle stiffness,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:9150,Simvastatin,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
befd3262-81bb-4690-a996-4246a2724c33,infores:arax,Muscle stiffness,HP:0003552,biolink:PhenotypicFeature,Simvastatin,CHEBI:9150,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.142,False,-0.0,True,0.323,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,1,medik:creative_edge#95,HP:0003552,Muscle stiffness,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:9150,Simvastatin,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
befd3262-81bb-4690-a996-4246a2724c33,infores:arax,Muscle stiffness,HP:0003552,biolink:PhenotypicFeature,Simvastatin,CHEBI:9150,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.142,False,-0.0,True,0.323,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,1,medik:edge#176,NCBIGene:387,RHOA,['biolink:Gene'],biolink:Gene,CHEBI:9150,Simvastatin,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:regulates,"[{'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'upregulated'}]",one-hop,,,,,,upregulated,,,[],DEFAULT PHRASE,infores:lincs,0,infores:unsecret-agent,
befd3262-81bb-4690-a996-4246a2724c33,infores:arax,Muscle stiffness,HP:0003552,biolink:PhenotypicFeature,Simvastatin,CHEBI:9150,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.142,False,-0.0,True,0.323,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,1,medik:edge#177,HP:0003552,Muscle stiffness,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,NCBIGene:387,RHOA,['biolink:Gene'],biolink:Gene,biolink:causes,[],one-hop,,,,,,,,,['PMID:24289040'],DEFAULT PHRASE,infores:semmeddb,1,infores:unsecret-agent,
befd3262-81bb-4690-a996-4246a2724c33,infores:arax,Muscle stiffness,HP:0003552,biolink:PhenotypicFeature,Simvastatin,CHEBI:9150,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.142,False,-0.0,True,0.323,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax']",3,1,infores:rtx-kg2:CHEBI:9150--biolink:in_clinical_trials_for--None--None--None--HP:0003552--infores:multiomics-clinicaltrials,HP:0003552,Muscle stiffness,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:9150,Simvastatin,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:rtx-kg2,infores:arax
befd3262-81bb-4690-a996-4246a2724c33,infores:unsecret-agent,Muscle stiffness,HP:0003552,biolink:PhenotypicFeature,Hyaluronidase,PUBCHEM.COMPOUND:91820602,biolink:MolecularMixture,2,1.0,1.0,0.0,0.0,0.5,71.429,False,-0.0,False,1.0,False,-0.0,True,0.279,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,2,inferred-PUBCHEM.COMPOUND:91820602-treats-HP:0003552,HP:0003552,Muscle stiffness,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,PUBCHEM.COMPOUND:91820602,Hyaluronidase,"['biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalEntity', 'biolink:Protein', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:GeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ThingWithTaxon', 'biolink:Drug', 'biolink:Polypeptide']",biolink:MolecularMixture,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
befd3262-81bb-4690-a996-4246a2724c33,infores:unsecret-agent,Muscle stiffness,HP:0003552,biolink:PhenotypicFeature,Hyaluronidase,PUBCHEM.COMPOUND:91820602,biolink:MolecularMixture,2,1.0,1.0,0.0,0.0,0.5,71.429,False,-0.0,False,1.0,False,-0.0,True,0.279,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,2,704a9dff24a6c239e7cfeeeead6f8b74,HP:0003552,Muscle stiffness,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,PUBCHEM.COMPOUND:91820602,Hyaluronidase,"['biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalEntity', 'biolink:Protein', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:GeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ThingWithTaxon', 'biolink:Drug', 'biolink:Polypeptide']",biolink:MolecularMixture,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:6333099', 'PMC:7229996']",DEFAULT PHRASE,infores:text-mining-provider-targeted,2,infores:biothings-explorer,
befd3262-81bb-4690-a996-4246a2724c33,infores:unsecret-agent,Muscle stiffness,HP:0003552,biolink:PhenotypicFeature,Hyaluronidase,PUBCHEM.COMPOUND:91820602,biolink:MolecularMixture,2,1.0,1.0,0.0,0.0,0.5,71.429,False,-0.0,False,1.0,False,-0.0,True,0.279,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,2,medik:creative_edge#1,HP:0003552,Muscle stiffness,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,PUBCHEM.COMPOUND:91820602,Hyaluronidase,"['biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalEntity', 'biolink:Protein', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:GeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ThingWithTaxon', 'biolink:Drug', 'biolink:Polypeptide']",biolink:MolecularMixture,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
befd3262-81bb-4690-a996-4246a2724c33,infores:unsecret-agent,Muscle stiffness,HP:0003552,biolink:PhenotypicFeature,Hyaluronidase,PUBCHEM.COMPOUND:91820602,biolink:MolecularMixture,2,1.0,1.0,0.0,0.0,0.5,71.429,False,-0.0,False,1.0,False,-0.0,True,0.279,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent']",2,2,medik:edge#1,HP:0003552,Muscle stiffness,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,PUBCHEM.COMPOUND:91820602,Hyaluronidase,"['biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:GeneProductMixin', 'biolink:MacromolecularMachineMixin', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalEntity', 'biolink:Protein', 'biolink:BiologicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:GeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ThingWithTaxon', 'biolink:Drug', 'biolink:Polypeptide']",biolink:MolecularMixture,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:6333099', 'PMC:7229996']",DEFAULT PHRASE,infores:text-mining-provider-targeted,2,infores:unsecret-agent,
