pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,agg1,agg2,publications_count
2f91c1ec-1213-4270-bfa2-03ea8097c6d7,infores:aragorn,Tamoxifen,CHEBI:41774,biolink:ChemicalEntity,RLIM,NCBIGene:51132,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.982,False,-0.0,True,0.582,True,0.473,"['infores:arax', 'infores:biothings-explorer', 'infores:unsecret-agent', 'infores:aragorn']",4,1,infores:automat-robokop:CHEBI:41774--biolink:affects--biolink:causes--increased--activity_or_abundance--NCBIGene:51132--infores:text-mining-provider-targeted,NCBIGene:51132,RLIM,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:41774,Tamoxifen,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,increased,activity_or_abundance,,['PMC:3132432'],Tamoxifen causes increased activity or abundance of RLIM,infores:text-mining-provider-targeted,infores:automat-robokop,infores:arax,1
2f91c1ec-1213-4270-bfa2-03ea8097c6d7,infores:aragorn,Tamoxifen,CHEBI:41774,biolink:ChemicalEntity,RLIM,NCBIGene:51132,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.982,False,-0.0,True,0.582,True,0.473,"['infores:arax', 'infores:biothings-explorer', 'infores:unsecret-agent', 'infores:aragorn']",4,1,9a11f8d9a7a7596e95a0696a3ffeb616,NCBIGene:51132,RLIM,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:41774,Tamoxifen,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}]",one-hop,causes,,,,,increased,activity_or_abundance,,['PMC:3132432'],Tamoxifen causes increased activity or abundance of RLIM,infores:text-mining-provider-targeted,infores:biothings-explorer,,1
2f91c1ec-1213-4270-bfa2-03ea8097c6d7,infores:aragorn,Tamoxifen,CHEBI:41774,biolink:ChemicalEntity,RLIM,NCBIGene:51132,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.982,False,-0.0,True,0.582,True,0.473,"['infores:arax', 'infores:biothings-explorer', 'infores:unsecret-agent', 'infores:aragorn']",4,1,inferred-CHEBI:41774-affects-NCBIGene:51132,NCBIGene:51132,RLIM,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,CHEBI:41774,Tamoxifen,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}]",creative,causes,,,,,increased,activity_or_abundance,,[],Tamoxifen causes increased activity or abundance of RLIM,infores:biothings-explorer,,,0
2f91c1ec-1213-4270-bfa2-03ea8097c6d7,infores:aragorn,Tamoxifen,CHEBI:41774,biolink:ChemicalEntity,RLIM,NCBIGene:51132,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.982,False,-0.0,True,0.582,True,0.473,"['infores:arax', 'infores:biothings-explorer', 'infores:unsecret-agent', 'infores:aragorn']",4,1,eec0b3386029e3c4ecf40257d6585c4d,NCBIGene:51132,RLIM,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,NCBIGene:5460,POU5F1,"['biolink:Gene', 'biolink:Protein']",biolink:Gene,biolink:regulates,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'downregulated'}]",one-hop,causes,,,,,downregulated,activity_or_abundance,,['PMC:3132432'],POU5F1 downregulated downregulated activity or abundance of RLIM,infores:text-mining-provider-targeted,infores:biothings-explorer,,1
2f91c1ec-1213-4270-bfa2-03ea8097c6d7,infores:aragorn,Tamoxifen,CHEBI:41774,biolink:ChemicalEntity,RLIM,NCBIGene:51132,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.982,False,-0.0,True,0.582,True,0.473,"['infores:arax', 'infores:biothings-explorer', 'infores:unsecret-agent', 'infores:aragorn']",4,1,b1115c4d00d502435e0b9ff47ce8bacd,NCBIGene:51132,RLIM,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,NCBIGene:23030,KDM4B,['biolink:Gene'],biolink:Gene,biolink:regulates,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'downregulated'}]",one-hop,causes,,,,,downregulated,activity_or_abundance,,['PMC:4243243'],KDM4B downregulated downregulated activity or abundance of RLIM,infores:text-mining-provider-targeted,infores:biothings-explorer,,1
2f91c1ec-1213-4270-bfa2-03ea8097c6d7,infores:aragorn,Tamoxifen,CHEBI:41774,biolink:ChemicalEntity,RLIM,NCBIGene:51132,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.982,False,-0.0,True,0.582,True,0.473,"['infores:arax', 'infores:biothings-explorer', 'infores:unsecret-agent', 'infores:aragorn']",4,1,0bd1451db205f903fcd264d28699ba2f,NCBIGene:51132,RLIM,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,NCBIGene:6657,SOX2,"['biolink:Gene', 'biolink:Protein']",biolink:Gene,biolink:regulates,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'downregulated'}]",one-hop,causes,,,,,downregulated,activity_or_abundance,,['PMC:3132432'],SOX2 downregulated downregulated activity or abundance of RLIM,infores:text-mining-provider-targeted,infores:biothings-explorer,,1
2f91c1ec-1213-4270-bfa2-03ea8097c6d7,infores:aragorn,Tamoxifen,CHEBI:41774,biolink:ChemicalEntity,RLIM,NCBIGene:51132,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.982,False,-0.0,True,0.582,True,0.473,"['infores:arax', 'infores:biothings-explorer', 'infores:unsecret-agent', 'infores:aragorn']",4,1,9e70da9bef5a37b99b7b01de4df2a7d3,NCBIGene:51132,RLIM,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,NCBIGene:5768,QSOX1,"['biolink:Gene', 'biolink:Protein']",biolink:Gene,biolink:regulates,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'downregulated'}]",one-hop,causes,,,,,downregulated,activity_or_abundance,,['PMC:3132432'],QSOX1 downregulated downregulated activity or abundance of RLIM,infores:text-mining-provider-targeted,infores:biothings-explorer,,1
2f91c1ec-1213-4270-bfa2-03ea8097c6d7,infores:aragorn,Tamoxifen,CHEBI:41774,biolink:ChemicalEntity,RLIM,NCBIGene:51132,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.982,False,-0.0,True,0.582,True,0.473,"['infores:arax', 'infores:biothings-explorer', 'infores:unsecret-agent', 'infores:aragorn']",4,1,441b85373137a061dc1f07846c1c50ac,NCBIGene:51132,RLIM,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,NCBIGene:132625,ZFP42,"['biolink:Gene', 'biolink:Protein']",biolink:Gene,biolink:regulates,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'downregulated'}]",one-hop,causes,,,,,downregulated,activity_or_abundance,,['PMC:4985753'],ZFP42 downregulated downregulated activity or abundance of RLIM,infores:text-mining-provider-targeted,infores:biothings-explorer,,1
2f91c1ec-1213-4270-bfa2-03ea8097c6d7,infores:aragorn,Tamoxifen,CHEBI:41774,biolink:ChemicalEntity,RLIM,NCBIGene:51132,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.982,False,-0.0,True,0.582,True,0.473,"['infores:arax', 'infores:biothings-explorer', 'infores:unsecret-agent', 'infores:aragorn']",4,1,22554e1b5774944470e9da9e54537967,NCBIGene:51132,RLIM,"['biolink:NamedThing', 'biolink:MacromolecularMachineMixin', 'biolink:ThingWithTaxon', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:GeneOrGeneProduct', 'biolink:Polypeptide', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:BiologicalEntity', 'biolink:GeneProductMixin', 'biolink:GenomicEntity']",biolink:NamedThing,NCBIGene:57455,REXO1,"['biolink:Gene', 'biolink:Protein']",biolink:Gene,biolink:regulates,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'downregulated'}]",one-hop,causes,,,,,downregulated,activity_or_abundance,,['PMC:4985753'],REXO1 downregulated downregulated activity or abundance of RLIM,infores:text-mining-provider-targeted,infores:biothings-explorer,,1
2f91c1ec-1213-4270-bfa2-03ea8097c6d7,infores:aragorn,Tamoxifen,CHEBI:41774,biolink:ChemicalEntity,RLIM,NCBIGene:51132,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,0.982,False,-0.0,True,0.582,True,0.473,"['infores:arax', 'infores:biothings-explorer', 'infores:unsecret-agent', 'infores:aragorn']",4,1,15dd5b87024ff1475bdc0a7cecb2f56a,NCBIGene:5460,POU5F1,"['biolink:Gene', 'biolink:Protein']",biolink:Gene,CHEBI:41774,Tamoxifen,"['biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:OntologyClass', 'biolink:PhysicalEssence', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,"['PMC:5654159', 'PMC:6099720', 'PMC:7855743', 'PMC:3828132']",Tamoxifen causes decreased activity or abundance of POU5F1,infores:text-mining-provider-targeted,infores:biothings-explorer,,4
