pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:unsecret-agent,Oxygen,CHEBI:25805,biolink:Drug,RNF220,NCBIGene:55182,biolink:PhysicalEssence,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#16,NCBIGene:55182,RNF220,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:BiologicalEntity', 'biolink:Gene', 'biolink:GeneProductMixin', 'biolink:GenomicEntity', 'biolink:PhysicalEssenceOrOccurrent']",biolink:PhysicalEssence,CHEBI:25805,Oxygen,['biolink:Drug'],biolink:Drug,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}]",creative,causes,,,,,increased,activity_or_abundance,,[],Oxygen causes increased activity or abundance of RNF220,infores:unsecret-agent,0,,
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:unsecret-agent,Oxygen,CHEBI:25805,biolink:Drug,RNF220,NCBIGene:55182,biolink:PhysicalEssence,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#32,MESH:D046988,Proteasome Endopeptidase Complex,['biolink:Protein'],biolink:Protein,CHEBI:25805,Oxygen,['biolink:Drug'],biolink:Drug,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,['PMID:26215701'],Oxygen causes decreased activity of Proteasome Endopeptidase Complex,infores:semmeddb,1,infores:unsecret-agent,
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:unsecret-agent,Oxygen,CHEBI:25805,biolink:Drug,RNF220,NCBIGene:55182,biolink:PhysicalEssence,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#33,NCBIGene:55182,RNF220,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:BiologicalEntity', 'biolink:Gene', 'biolink:GeneProductMixin', 'biolink:GenomicEntity', 'biolink:PhysicalEssenceOrOccurrent']",biolink:PhysicalEssence,MESH:D046988,Proteasome Endopeptidase Complex,['biolink:Protein'],biolink:Protein,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,['PMID:30500349'],Proteasome Endopeptidase Complex causes decreased activity of RNF220,infores:semmeddb,1,infores:unsecret-agent,
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:unsecret-agent,Oxygen,CHEBI:25805,biolink:Drug,RNF220,NCBIGene:55182,biolink:PhysicalEssence,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#39,NCBIGene:55182,RNF220,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:BiologicalEntity', 'biolink:Gene', 'biolink:GeneProductMixin', 'biolink:GenomicEntity', 'biolink:PhysicalEssenceOrOccurrent']",biolink:PhysicalEssence,CHEBI:25805,Oxygen,['biolink:Drug'],biolink:Drug,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}]",creative,causes,,,,,increased,activity_or_abundance,,[],Oxygen causes increased activity or abundance of RNF220,infores:unsecret-agent,0,,
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:unsecret-agent,Oxygen,CHEBI:25805,biolink:Drug,RNF220,NCBIGene:55182,biolink:PhysicalEssence,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#78,MESH:D046988,Proteasome Endopeptidase Complex,['biolink:Protein'],biolink:Protein,CHEBI:25805,Oxygen,['biolink:Drug'],biolink:Drug,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,['PMID:19690165'],Oxygen causes decreased activity of Proteasome Endopeptidase Complex,infores:semmeddb,1,infores:unsecret-agent,
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:unsecret-agent,Oxygen,CHEBI:25805,biolink:Drug,RNF220,NCBIGene:55182,biolink:PhysicalEssence,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#79,NCBIGene:55182,RNF220,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:BiologicalEntity', 'biolink:Gene', 'biolink:GeneProductMixin', 'biolink:GenomicEntity', 'biolink:PhysicalEssenceOrOccurrent']",biolink:PhysicalEssence,MESH:D046988,Proteasome Endopeptidase Complex,['biolink:Protein'],biolink:Protein,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,['PMID:30500349'],Proteasome Endopeptidase Complex causes decreased activity of RNF220,infores:semmeddb,1,infores:unsecret-agent,
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Cyclooxygenase 2,MESH:D051546,biolink:ChemicalEntity,RNF220,NCBIGene:55182,biolink:PhysicalEssence,2,0.999,0.999,0.0,0.0,0.499,90.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,creative_CRG_prediction_5,NCBIGene:55182,RNF220,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:BiologicalEntity', 'biolink:Gene', 'biolink:GeneProductMixin', 'biolink:GenomicEntity', 'biolink:PhysicalEssenceOrOccurrent']",biolink:PhysicalEssence,MESH:D051546,Cyclooxygenase 2,"['biolink:ChemicalEntity', 'biolink:NamedThing']",biolink:ChemicalEntity,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}]",creative,,,,,,increased,activity_or_abundance,,[],DEFAULT PHRASE,infores:arax,0,,
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Cyclooxygenase 2,MESH:D051546,biolink:ChemicalEntity,RNF220,NCBIGene:55182,biolink:PhysicalEssence,2,0.999,0.999,0.0,0.0,0.499,90.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:rtx-kg2:NCBIGene:2033--biolink:affects--biolink:causes--increased--activity--MESH:D051546--infores:semmeddb,MESH:D051546,Cyclooxygenase 2,"['biolink:ChemicalEntity', 'biolink:NamedThing']",biolink:ChemicalEntity,NCBIGene:2033,EP300,"['biolink:Gene', 'biolink:NamedThing']",biolink:Gene,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}]",one-hop,causes,,,,,increased,activity,,"['PMID:24287977', 'PMID:14976201', 'PMID:16397300', 'PMID:29049411', 'PMID:25669978', 'PMID:11980644']",EP300 causes increased activity of Cyclooxygenase 2,infores:semmeddb,6,infores:rtx-kg2,infores:arax
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Cyclooxygenase 2,MESH:D051546,biolink:ChemicalEntity,RNF220,NCBIGene:55182,biolink:PhysicalEssence,2,0.999,0.999,0.0,0.0,0.499,90.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:rtx-kg2:NCBIGene:3725--biolink:interacts_with--------MESH:D051546--infores:semmeddb,MESH:D051546,Cyclooxygenase 2,"['biolink:ChemicalEntity', 'biolink:NamedThing']",biolink:ChemicalEntity,NCBIGene:3725,JUN,"['biolink:Gene', 'biolink:NamedThing']",biolink:Gene,biolink:interacts_with,,one-hop,,,,,,,,,"['PMID:17313938', 'PMID:35242277', 'PMID:23523690', 'PMID:15772294', 'PMID:15994313']",DEFAULT PHRASE,infores:semmeddb,5,infores:rtx-kg2,infores:arax
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Cyclooxygenase 2,MESH:D051546,biolink:ChemicalEntity,RNF220,NCBIGene:55182,biolink:PhysicalEssence,2,0.999,0.999,0.0,0.0,0.499,90.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:rtx-kg2:NCBIGene:7157--biolink:coexists_with--------MESH:D051546--infores:semmeddb,MESH:D051546,Cyclooxygenase 2,"['biolink:ChemicalEntity', 'biolink:NamedThing']",biolink:ChemicalEntity,NCBIGene:7157,TP53,"['biolink:Gene', 'biolink:NamedThing']",biolink:Gene,biolink:coexists_with,,one-hop,,,,,,,,,"['PMID:12576817', 'PMID:12957358', 'PMID:15222024', 'PMID:15246187', 'PMID:15550400', 'PMID:16700663', 'PMID:16733863', 'PMID:16759529', 'PMID:20346139']",DEFAULT PHRASE,infores:semmeddb,9,infores:rtx-kg2,infores:arax
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Cyclooxygenase 2,MESH:D051546,biolink:ChemicalEntity,RNF220,NCBIGene:55182,biolink:PhysicalEssence,2,0.999,0.999,0.0,0.0,0.499,90.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:rtx-kg2:NCBIGene:55182--biolink:related_to--------GO:0051091--infores:ensembl-gene,GO:0051091,positive regulation of DNA-binding transcription factor activity,"['biolink:BiologicalProcess', 'biolink:NamedThing']",biolink:BiologicalProcess,NCBIGene:55182,RNF220,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:BiologicalEntity', 'biolink:Gene', 'biolink:GeneProductMixin', 'biolink:GenomicEntity', 'biolink:PhysicalEssenceOrOccurrent']",biolink:PhysicalEssence,biolink:related_to,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:ensembl-gene,0,infores:rtx-kg2,infores:arax
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Cyclooxygenase 2,MESH:D051546,biolink:ChemicalEntity,RNF220,NCBIGene:55182,biolink:PhysicalEssence,2,0.999,0.999,0.0,0.0,0.499,90.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:rtx-kg2:GO:0051091--biolink:has_participant--------NCBIGene:2033--infores:goa,NCBIGene:2033,EP300,"['biolink:Gene', 'biolink:NamedThing']",biolink:Gene,GO:0051091,positive regulation of DNA-binding transcription factor activity,"['biolink:BiologicalProcess', 'biolink:NamedThing']",biolink:BiologicalProcess,biolink:has_participant,,one-hop,,,,,,,,,['PMID:25818647'],DEFAULT PHRASE,infores:goa,1,infores:rtx-kg2,infores:arax
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Activins,PUBCHEM.COMPOUND:4435,biolink:SmallMolecule,RNF220,NCBIGene:55182,biolink:PhysicalEssence,3,0.998,0.998,0.0,0.0,0.499,80.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,3,creative_CRG_prediction_7,NCBIGene:55182,RNF220,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:BiologicalEntity', 'biolink:Gene', 'biolink:GeneProductMixin', 'biolink:GenomicEntity', 'biolink:PhysicalEssenceOrOccurrent']",biolink:PhysicalEssence,PUBCHEM.COMPOUND:4435,Activins,"['biolink:SmallMolecule', 'biolink:NamedThing']",biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}]",creative,,,,,,increased,activity_or_abundance,,[],DEFAULT PHRASE,infores:arax,0,,
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Activins,PUBCHEM.COMPOUND:4435,biolink:SmallMolecule,RNF220,NCBIGene:55182,biolink:PhysicalEssence,3,0.998,0.998,0.0,0.0,0.499,80.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,3,infores:rtx-kg2:NCBIGene:55182--biolink:related_to--------GO:0051091--infores:ensembl-gene,GO:0051091,positive regulation of DNA-binding transcription factor activity,"['biolink:BiologicalProcess', 'biolink:NamedThing']",biolink:BiologicalProcess,NCBIGene:55182,RNF220,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:BiologicalEntity', 'biolink:Gene', 'biolink:GeneProductMixin', 'biolink:GenomicEntity', 'biolink:PhysicalEssenceOrOccurrent']",biolink:PhysicalEssence,biolink:related_to,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:ensembl-gene,0,infores:rtx-kg2,infores:arax
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Activins,PUBCHEM.COMPOUND:4435,biolink:SmallMolecule,RNF220,NCBIGene:55182,biolink:PhysicalEssence,3,0.998,0.998,0.0,0.0,0.499,80.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,3,infores:rtx-kg2:GO:0051091--biolink:has_participant--------NCBIGene:4088--infores:goa,NCBIGene:4088,SMAD3,"['biolink:Gene', 'biolink:NamedThing']",biolink:Gene,GO:0051091,positive regulation of DNA-binding transcription factor activity,"['biolink:BiologicalProcess', 'biolink:NamedThing']",biolink:BiologicalProcess,biolink:has_participant,,one-hop,,,,,,,,,['PMID:15799969'],DEFAULT PHRASE,infores:goa,1,infores:rtx-kg2,infores:arax
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Activins,PUBCHEM.COMPOUND:4435,biolink:SmallMolecule,RNF220,NCBIGene:55182,biolink:PhysicalEssence,3,0.998,0.998,0.0,0.0,0.499,80.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,3,infores:rtx-kg2:NCBIGene:4087--biolink:interacts_with--------PUBCHEM.COMPOUND:4435--infores:semmeddb,PUBCHEM.COMPOUND:4435,Activins,"['biolink:SmallMolecule', 'biolink:NamedThing']",biolink:SmallMolecule,NCBIGene:4087,SMAD2,"['biolink:Gene', 'biolink:NamedThing']",biolink:Gene,biolink:interacts_with,,one-hop,,,,,,,,,"['PMID:11424090', 'PMID:11532917', 'PMID:12639945', 'PMID:15849193', 'PMID:17478422', 'PMID:17671190', 'PMID:20074812', 'PMID:21079647', 'PMID:24132781', 'PMID:28191871']",DEFAULT PHRASE,infores:semmeddb,10,infores:rtx-kg2,infores:arax
6dfab519-2a5b-468a-bc18-5db68ff0ab17,infores:arax,Activins,PUBCHEM.COMPOUND:4435,biolink:SmallMolecule,RNF220,NCBIGene:55182,biolink:PhysicalEssence,3,0.998,0.998,0.0,0.0,0.499,80.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,3,infores:rtx-kg2:NCBIGene:4088--biolink:interacts_with--------PUBCHEM.COMPOUND:4435--infores:semmeddb,PUBCHEM.COMPOUND:4435,Activins,"['biolink:SmallMolecule', 'biolink:NamedThing']",biolink:SmallMolecule,NCBIGene:4088,SMAD3,"['biolink:Gene', 'biolink:NamedThing']",biolink:Gene,biolink:interacts_with,,one-hop,,,,,,,,,"['PMID:15375186', 'PMID:17595316', 'PMID:18184649', 'PMID:30715256', 'PMID:8893010']",DEFAULT PHRASE,infores:semmeddb,5,infores:rtx-kg2,infores:arax
