pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,agg1,publications_count,agg2
00f2792b-11f5-48d2-83c9-ca3005cb9394,infores:arax,Modafinil,CHEBI:31859,biolink:NamedThing,sleep disorder,MONDO:0003406,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:automat-robokop:CHEBI:31859--biolink:treats--None--None--None--HP:0002360--infores:automat-robokop,HP:0002360,Sleep abnormality,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:NamedThing,CHEBI:31859,Modafinil,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:automat-robokop,infores:arax,0,
00f2792b-11f5-48d2-83c9-ca3005cb9394,infores:arax,Modafinil,CHEBI:31859,biolink:NamedThing,sleep disorder,MONDO:0003406,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:31859--biolink:in_clinical_trials_for--None--None--None--MONDO:0005466--infores:multiomics-clinicaltrials,MONDO:0005466,hypersomnia,"['biolink:Disease', 'biolink:BehavioralFeature']",biolink:Disease,CHEBI:31859,Modafinil,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:rtx-kg2,0,infores:arax
00f2792b-11f5-48d2-83c9-ca3005cb9394,infores:arax,Modafinil,CHEBI:31859,biolink:NamedThing,sleep disorder,MONDO:0003406,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:31859--biolink:treats--None--None--None--MONDO:0013600--infores:multiomics-clinicaltrials,MONDO:0013600,insomnia,"['biolink:Disease', 'biolink:PhenotypicFeature', 'biolink:BehavioralFeature']",biolink:Disease,CHEBI:31859,Modafinil,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:rtx-kg2,0,infores:arax
00f2792b-11f5-48d2-83c9-ca3005cb9394,infores:arax,Modafinil,CHEBI:31859,biolink:NamedThing,sleep disorder,MONDO:0003406,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:31859--biolink:in_clinical_trials_for--None--None--None--MONDO:0003406--infores:multiomics-clinicaltrials,MONDO:0003406,sleep disorder,"['biolink:Disease', 'biolink:DiseaseOrPhenotypicFeature']",biolink:Disease,CHEBI:31859,Modafinil,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:rtx-kg2,0,infores:arax
00f2792b-11f5-48d2-83c9-ca3005cb9394,infores:arax,Modafinil,CHEBI:31859,biolink:NamedThing,sleep disorder,MONDO:0003406,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:31859--biolink:treats--None--None--None--MONDO:0007147--infores:multiomics-clinicaltrials,MONDO:0007147,obstructive sleep apnea syndrome,['biolink:Disease'],biolink:Disease,CHEBI:31859,Modafinil,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:rtx-kg2,0,infores:arax
00f2792b-11f5-48d2-83c9-ca3005cb9394,infores:arax,Modafinil,CHEBI:31859,biolink:NamedThing,sleep disorder,MONDO:0003406,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:31859--biolink:in_clinical_trials_for--None--None--None--MONDO:0021107--infores:multiomics-clinicaltrials,MONDO:0021107,narcolepsy,"['biolink:Disease', 'biolink:BehavioralFeature']",biolink:Disease,CHEBI:31859,Modafinil,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:rtx-kg2,0,infores:arax
00f2792b-11f5-48d2-83c9-ca3005cb9394,infores:arax,Modafinil,CHEBI:31859,biolink:NamedThing,sleep disorder,MONDO:0003406,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:31859--biolink:applied_to_treat--None--None--None--MONDO:0021107--infores:drugcentral,MONDO:0021107,narcolepsy,"['biolink:Disease', 'biolink:BehavioralFeature']",biolink:Disease,CHEBI:31859,Modafinil,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:rtx-kg2,0,infores:arax
00f2792b-11f5-48d2-83c9-ca3005cb9394,infores:arax,Modafinil,CHEBI:31859,biolink:NamedThing,sleep disorder,MONDO:0003406,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:31859--biolink:in_clinical_trials_for--None--None--None--HP:0001262--infores:multiomics-clinicaltrials,HP:0001262,Somnolence,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:PhenotypicFeature,CHEBI:31859,Modafinil,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:rtx-kg2,0,infores:arax
00f2792b-11f5-48d2-83c9-ca3005cb9394,infores:arax,Modafinil,CHEBI:31859,biolink:NamedThing,sleep disorder,MONDO:0003406,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:31859--biolink:in_clinical_trials_for--None--None--None--MONDO:0013600--infores:multiomics-clinicaltrials,MONDO:0013600,insomnia,"['biolink:Disease', 'biolink:PhenotypicFeature', 'biolink:BehavioralFeature']",biolink:Disease,CHEBI:31859,Modafinil,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:rtx-kg2,0,infores:arax
00f2792b-11f5-48d2-83c9-ca3005cb9394,infores:arax,Modafinil,CHEBI:31859,biolink:NamedThing,sleep disorder,MONDO:0003406,biolink:Disease,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:automat-robokop:CHEBI:31859--biolink:ameliorates_condition--None--None--None--HP:0002360--infores:automat-robokop,HP:0002360,Sleep abnormality,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:NamedThing,CHEBI:31859,Modafinil,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:ameliorates_condition,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:automat-robokop,infores:arax,0,
