pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,inferred-CHEBI:187893-treats-MONDO:0001167,MONDO:0001167,spastic diplegia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:187893,Baclofen,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,56fdbfaa05cb68b78241e59ce5a6ebaa,MONDO:0001167,spastic diplegia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:187893,Baclofen,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,e834476e0e55913723a606bd62be370e,MONDO:0001167,spastic diplegia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:187893,Baclofen,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,['PMC:9036346'],DEFAULT PHRASE,infores:text-mining-provider-targeted,1,infores:biothings-explorer,
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,1a75cd776a07,MONDO:0001167,spastic diplegia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:187893,Baclofen,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:spoke,0,infores:aragorn,
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,eb8e7a96-e262-47a7-a42f-7259ccc7f5a7,MONDO:0001167,spastic diplegia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:187893,Baclofen,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:aragorn,0,,
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,9d39128fc9ac,MONDO:0001167,spastic diplegia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,MONDO:0016215,spastic quadriplegic cerebral palsy,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,biolink:positively_correlated_with,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:cohd,0,infores:aragorn,
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,e05baa60506c,MONDO:0016215,spastic quadriplegic cerebral palsy,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:187893,Baclofen,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:spoke,0,infores:aragorn,
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,0ed422a25055,MONDO:0001167,spastic diplegia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,MONDO:0006497,cerebral palsy,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,biolink:positively_correlated_with,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:cohd,0,infores:aragorn,
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,6f38c29616bc,MONDO:0006497,cerebral palsy,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:187893,Baclofen,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:spoke,0,infores:aragorn,
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,5829e24ab7f2,MONDO:0001167,spastic diplegia,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,MONDO:0008780,"amyotrophic lateral sclerosis type 2, juvenile","['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,biolink:has_phenotype,[],one-hop,,,,,,,,,['PMID:24562058'],DEFAULT PHRASE,infores:hpo-annotations,1,infores:aragorn,infores:automat-robokop
cedecaf3-fe5e-450c-97b2-c065d214086f,infores:improving-agent,spastic diplegia,MONDO:0001167,biolink:Disease,Baclofen,CHEBI:187893,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,93.333,False,-0.0,False,0.994,True,0.577,True,0.488,True,0.709,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent', 'infores:improving-agent']",5,1,451d9b8633fe,MONDO:0008780,"amyotrophic lateral sclerosis type 2, juvenile","['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:187893,Baclofen,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,['PMC:5586730'],DEFAULT PHRASE,infores:text-mining-provider-targeted,1,infores:aragorn,infores:automat-robokop
