pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,agg1,publications_count,agg2
f2db02c8-5240-4899-86d9-fa712496d836,infores:arax,botulinum toxin type A,CHEBI:3160,biolink:PhysicalEssence,Lower limb spasticity,HP:0002061,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:multiomics-clinicaltrials:UNII:E211KPY694--biolink:treats--None--None--None--HP:0001257--infores:multiomics-clinicaltrials,HP:0001257,Spasticity,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:NamedThing,CHEBI:3160,botulinum toxin type A,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:PhysicalEssence,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:arax,0,
f2db02c8-5240-4899-86d9-fa712496d836,infores:arax,botulinum toxin type A,CHEBI:3160,biolink:PhysicalEssence,Lower limb spasticity,HP:0002061,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:3160--biolink:applied_to_treat--None--None--None--HP:0006986--infores:drugcentral,HP:0006986,Upper limb spasticity,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:3160,botulinum toxin type A,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:PhysicalEssence,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:rtx-kg2,0,infores:arax
f2db02c8-5240-4899-86d9-fa712496d836,infores:arax,botulinum toxin type A,CHEBI:3160,biolink:PhysicalEssence,Lower limb spasticity,HP:0002061,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:automat-robokop:UNII:E211KPY694--biolink:treats--None--None--None--HP:0001257--infores:automat-robokop,HP:0001257,Spasticity,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:NamedThing,CHEBI:3160,botulinum toxin type A,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:PhysicalEssence,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:automat-robokop,infores:arax,0,
f2db02c8-5240-4899-86d9-fa712496d836,infores:arax,botulinum toxin type A,CHEBI:3160,biolink:PhysicalEssence,Lower limb spasticity,HP:0002061,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:3160--biolink:applied_to_treat--None--None--None--HP:0002061--infores:drugcentral,HP:0002061,Lower limb spasticity,"['biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:PhenotypicFeature,CHEBI:3160,botulinum toxin type A,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:PhysicalEssence,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:rtx-kg2,0,infores:arax
f2db02c8-5240-4899-86d9-fa712496d836,infores:arax,botulinum toxin type A,CHEBI:3160,biolink:PhysicalEssence,Lower limb spasticity,HP:0002061,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:automat-drug-central:UNII:E211KPY694--biolink:treats--None--None--None--HP:0001257--infores:automat-drug-central,HP:0001257,Spasticity,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:NamedThing,CHEBI:3160,botulinum toxin type A,"['biolink:PhysicalEssence', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntity', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:SmallMolecule']",biolink:PhysicalEssence,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:automat-drug-central,infores:arax,0,
f2db02c8-5240-4899-86d9-fa712496d836,infores:unsecret-agent,dantrolene,CHEBI:4317,biolink:NamedThing,Spasticity,HP:0001257,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,86.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,"['infores:arax', 'infores:unsecret-agent']",2,2,infores:multiomics-drugapprovals:UNII:F64QU97QCR--biolink:treats--None--None--None--HP:0001257--infores:multiomics-drugapprovals,HP:0001257,Spasticity,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:NamedThing,CHEBI:4317,dantrolene,"['biolink:NamedThing', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalMixture', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-drugapprovals,infores:arax,0,
f2db02c8-5240-4899-86d9-fa712496d836,infores:unsecret-agent,dantrolene,CHEBI:4317,biolink:NamedThing,Spasticity,HP:0001257,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,86.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,"['infores:arax', 'infores:unsecret-agent']",2,2,infores:rtx-kg2:CHEBI:4317--biolink:applied_to_treat--None--None--None--HP:0001257--infores:drugcentral,HP:0001257,Spasticity,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:NamedThing,CHEBI:4317,dantrolene,"['biolink:NamedThing', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalMixture', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:rtx-kg2,0,infores:arax
f2db02c8-5240-4899-86d9-fa712496d836,infores:unsecret-agent,dantrolene,CHEBI:4317,biolink:NamedThing,Spasticity,HP:0001257,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,86.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,"['infores:arax', 'infores:unsecret-agent']",2,2,infores:automat-drug-central:PUBCHEM.COMPOUND:6914273--biolink:treats--None--None--None--HP:0001257--infores:drugcentral,HP:0001257,Spasticity,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:NamedThing,CHEBI:4317,dantrolene,"['biolink:NamedThing', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalMixture', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:automat-drug-central,0,infores:arax
f2db02c8-5240-4899-86d9-fa712496d836,infores:unsecret-agent,dantrolene,CHEBI:4317,biolink:NamedThing,Spasticity,HP:0001257,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,86.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,"['infores:arax', 'infores:unsecret-agent']",2,2,infores:automat-robokop:CHEBI:4317--biolink:treats--None--None--None--HP:0001257--infores:drugcentral,HP:0001257,Spasticity,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:NamedThing,CHEBI:4317,dantrolene,"['biolink:NamedThing', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalMixture', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:automat-robokop,0,infores:arax
f2db02c8-5240-4899-86d9-fa712496d836,infores:unsecret-agent,dantrolene,CHEBI:4317,biolink:NamedThing,Spasticity,HP:0001257,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,86.957,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,"['infores:arax', 'infores:unsecret-agent']",2,2,infores:molepro:PUBCHEM.COMPOUND:13271066--biolink:treats--None--None--None--HP:0001257--infores:sider,HP:0001257,Spasticity,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:DiseaseOrPhenotypicFeature']",biolink:NamedThing,CHEBI:4317,dantrolene,"['biolink:NamedThing', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalMixture', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:MolecularEntity', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:sider,infores:molepro,0,infores:arax
