pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
661f261f-e360-456c-b1de-36726f7460c2,infores:unsecret-agent,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",PUBCHEM.COMPOUND:137656116,biolink:SmallMolecule,Tremor,HP:0001337,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#124,HP:0001337,Tremor,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:BehavioralFeature']",biolink:NamedThing,PUBCHEM.COMPOUND:137656116,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
661f261f-e360-456c-b1de-36726f7460c2,infores:unsecret-agent,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",PUBCHEM.COMPOUND:137656116,biolink:SmallMolecule,Tremor,HP:0001337,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#152,NCBIGene:156,GRK2,['biolink:Gene'],biolink:Gene,PUBCHEM.COMPOUND:137656116,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,increased,activity,,['PMID:28699740'],"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide causes increased activity of GRK2",infores:bindingdb,1,infores:unsecret-agent,
661f261f-e360-456c-b1de-36726f7460c2,infores:unsecret-agent,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",PUBCHEM.COMPOUND:137656116,biolink:SmallMolecule,Tremor,HP:0001337,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#153,HP:0001337,Tremor,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:BehavioralFeature']",biolink:NamedThing,NCBIGene:156,GRK2,['biolink:Gene'],biolink:Gene,biolink:causes,[],one-hop,,,,,,,,,"['PMID:1189816', 'PMID:15703231', 'PMID:20525304', 'PMID:22120148', 'PMID:22609238', 'PMID:809126']",DEFAULT PHRASE,infores:semmeddb,6,infores:unsecret-agent,
661f261f-e360-456c-b1de-36726f7460c2,infores:unsecret-agent,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",PUBCHEM.COMPOUND:137656116,biolink:SmallMolecule,Tremor,HP:0001337,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#195,HP:0001337,Tremor,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:BehavioralFeature']",biolink:NamedThing,PUBCHEM.COMPOUND:137656116,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
661f261f-e360-456c-b1de-36726f7460c2,infores:unsecret-agent,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",PUBCHEM.COMPOUND:137656116,biolink:SmallMolecule,Tremor,HP:0001337,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#294,NCBIGene:156,GRK2,['biolink:Gene'],biolink:Gene,PUBCHEM.COMPOUND:137656116,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,['PMID:28699740'],"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide causes decreased activity of GRK2",infores:bindingdb,1,infores:unsecret-agent,
661f261f-e360-456c-b1de-36726f7460c2,infores:unsecret-agent,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",PUBCHEM.COMPOUND:137656116,biolink:SmallMolecule,Tremor,HP:0001337,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#295,HP:0001337,Tremor,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:BehavioralFeature']",biolink:NamedThing,NCBIGene:156,GRK2,['biolink:Gene'],biolink:Gene,biolink:causes,[],one-hop,,,,,,,,,"['PMID:1189816', 'PMID:15703231', 'PMID:20525304', 'PMID:22120148', 'PMID:22609238', 'PMID:809126']",DEFAULT PHRASE,infores:semmeddb,6,infores:unsecret-agent,
661f261f-e360-456c-b1de-36726f7460c2,infores:unsecret-agent,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",PUBCHEM.COMPOUND:137656116,biolink:SmallMolecule,Tremor,HP:0001337,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#196,HP:0001337,Tremor,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:BehavioralFeature']",biolink:NamedThing,PUBCHEM.COMPOUND:137656116,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
661f261f-e360-456c-b1de-36726f7460c2,infores:unsecret-agent,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",PUBCHEM.COMPOUND:137656116,biolink:SmallMolecule,Tremor,HP:0001337,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#296,NCBIGene:156,GRK2,['biolink:Gene'],biolink:Gene,PUBCHEM.COMPOUND:137656116,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,['PMID:28699740'],"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide causes decreased activity of GRK2",infores:pharos,1,infores:unsecret-agent,
661f261f-e360-456c-b1de-36726f7460c2,infores:unsecret-agent,"3-[(4-methyl-5-pyrimidin-4-yl-1,2,4-triazol-3-yl)methylamino]-N-[[2-(trifluoromethyl)phenyl]methyl]benzamide",PUBCHEM.COMPOUND:137656116,biolink:SmallMolecule,Tremor,HP:0001337,biolink:NamedThing,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#297,HP:0001337,Tremor,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:BehavioralFeature']",biolink:NamedThing,NCBIGene:156,GRK2,['biolink:Gene'],biolink:Gene,biolink:causes,[],one-hop,,,,,,,,,"['PMID:1189816', 'PMID:15703231', 'PMID:20525304', 'PMID:22120148', 'PMID:22609238', 'PMID:809126']",DEFAULT PHRASE,infores:semmeddb,6,infores:unsecret-agent,
661f261f-e360-456c-b1de-36726f7460c2,infores:arax,Propranolol,CHEBI:8499,biolink:SmallMolecule,Tremor,HP:0001337,biolink:NamedThing,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,2,infores:molepro:CHEBI:8499--biolink:treats--None--None--None--HP:0001337--infores:sider,HP:0001337,Tremor,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:BehavioralFeature']",biolink:NamedThing,CHEBI:8499,Propranolol,"['biolink:SmallMolecule', 'biolink:MolecularMixture', 'biolink:Drug', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:sider,0,infores:molepro,infores:arax
