pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
297cc1a8-79c7-40a7-8546-05f5757836b8,infores:unsecret-agent,Biotin,CHEBI:15956,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#0,HP:0001263,Cognitive delay,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15956,Biotin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
297cc1a8-79c7-40a7-8546-05f5757836b8,infores:unsecret-agent,Biotin,CHEBI:15956,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#0,HP:0001263,Cognitive delay,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15956,Biotin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:7211084', 'PMC:7274502', 'PMC:5471405', 'PMC:5428951', 'PMC:4885158']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:unsecret-agent,
297cc1a8-79c7-40a7-8546-05f5757836b8,infores:unsecret-agent,Biotin,CHEBI:15956,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#3,HP:0001263,Cognitive delay,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15956,Biotin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
297cc1a8-79c7-40a7-8546-05f5757836b8,infores:unsecret-agent,Biotin,CHEBI:15956,biolink:SmallMolecule,Cognitive delay,HP:0001263,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#3,HP:0001263,Cognitive delay,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15956,Biotin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:7211084', 'PMC:7274502', 'PMC:5471405', 'PMC:5428951', 'PMC:4885158']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:unsecret-agent,
297cc1a8-79c7-40a7-8546-05f5757836b8,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Neurodevelopmental delay,HP:0012758,biolink:PhenotypicFeature,2,0.997,0.997,0.0,0.0,0.499,99.571,False,-0.0,False,0.996,False,-0.0,True,0.323,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,2,medik:creative_edge#18,HP:0012758,Neurodevelopmental delay,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15956,Biotin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
297cc1a8-79c7-40a7-8546-05f5757836b8,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Neurodevelopmental delay,HP:0012758,biolink:PhenotypicFeature,2,0.997,0.997,0.0,0.0,0.499,99.571,False,-0.0,False,0.996,False,-0.0,True,0.323,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,2,medik:edge#18,HP:0012758,Neurodevelopmental delay,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15956,Biotin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3943044', 'PMC:8958925']",DEFAULT PHRASE,infores:text-mining-provider-targeted,2,infores:unsecret-agent,
297cc1a8-79c7-40a7-8546-05f5757836b8,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Neurodevelopmental delay,HP:0012758,biolink:PhenotypicFeature,2,0.997,0.997,0.0,0.0,0.499,99.571,False,-0.0,False,0.996,False,-0.0,True,0.323,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,2,medik:creative_edge#19,HP:0012758,Neurodevelopmental delay,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15956,Biotin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
297cc1a8-79c7-40a7-8546-05f5757836b8,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Neurodevelopmental delay,HP:0012758,biolink:PhenotypicFeature,2,0.997,0.997,0.0,0.0,0.499,99.571,False,-0.0,False,0.996,False,-0.0,True,0.323,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,2,medik:edge#19,HP:0012758,Neurodevelopmental delay,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15956,Biotin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3943044', 'PMC:8958925']",DEFAULT PHRASE,infores:text-mining-provider-targeted,2,infores:unsecret-agent,
297cc1a8-79c7-40a7-8546-05f5757836b8,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Neurodevelopmental delay,HP:0012758,biolink:PhenotypicFeature,2,0.997,0.997,0.0,0.0,0.499,99.571,False,-0.0,False,0.996,False,-0.0,True,0.323,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,2,inferred-CHEBI:15956-treats-HP:0012758,HP:0012758,Neurodevelopmental delay,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15956,Biotin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
297cc1a8-79c7-40a7-8546-05f5757836b8,infores:biothings-explorer,Biotin,CHEBI:15956,biolink:SmallMolecule,Neurodevelopmental delay,HP:0012758,biolink:PhenotypicFeature,2,0.997,0.997,0.0,0.0,0.499,99.571,False,-0.0,False,0.996,False,-0.0,True,0.323,False,-0.0,"['infores:unsecret-agent', 'infores:biothings-explorer']",2,2,7ddc9f0fa35ba89ae1c8fdeee544db57,HP:0012758,Neurodevelopmental delay,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15956,Biotin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3943044', 'PMC:8958925']",DEFAULT PHRASE,infores:text-mining-provider-targeted,2,infores:biothings-explorer,
