pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1
bb41b9b5-2be7-4fec-9ff6-f767e9679458,infores:unsecret-agent,Ions,MONDO:0044688,biolink:SmallMolecule,Unsteady gait,HP:0002317,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#2,HP:0002317,Unsteady gait,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,MONDO:0044688,Ions,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
bb41b9b5-2be7-4fec-9ff6-f767e9679458,infores:unsecret-agent,Ions,MONDO:0044688,biolink:SmallMolecule,Unsteady gait,HP:0002317,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#4,NCBIGene:6647,SOD1,['biolink:Gene'],biolink:Gene,MONDO:0044688,Ions,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,increased,activity,,['PMID:25332878'],Ions causes increased activity of SOD1,infores:semmeddb,1,infores:unsecret-agent
bb41b9b5-2be7-4fec-9ff6-f767e9679458,infores:unsecret-agent,Ions,MONDO:0044688,biolink:SmallMolecule,Unsteady gait,HP:0002317,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#5,HP:0002317,Unsteady gait,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,NCBIGene:6647,SOD1,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,['PMID:21867702'],DEFAULT PHRASE,infores:disgenet,1,infores:unsecret-agent
bb41b9b5-2be7-4fec-9ff6-f767e9679458,infores:unsecret-agent,Alkylating Agents,UMLS:C0002073,biolink:Drug,Unsteady gait,HP:0002317,biolink:DiseaseOrPhenotypicFeature,2,0.992,0.992,0.0,0.0,0.496,99.2,False,-0.0,False,0.992,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:creative_edge#1,HP:0002317,Unsteady gait,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,UMLS:C0002073,Alkylating Agents,['biolink:Drug'],biolink:Drug,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
bb41b9b5-2be7-4fec-9ff6-f767e9679458,infores:unsecret-agent,Alkylating Agents,UMLS:C0002073,biolink:Drug,Unsteady gait,HP:0002317,biolink:DiseaseOrPhenotypicFeature,2,0.992,0.992,0.0,0.0,0.496,99.2,False,-0.0,False,0.992,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:edge#2,NCBIGene:6647,SOD1,['biolink:Gene'],biolink:Gene,UMLS:C0002073,Alkylating Agents,['biolink:Drug'],biolink:Drug,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,increased,activity,,['PMID:14676197'],Alkylating Agents causes increased activity of SOD1,infores:semmeddb,1,infores:unsecret-agent
bb41b9b5-2be7-4fec-9ff6-f767e9679458,infores:unsecret-agent,Alkylating Agents,UMLS:C0002073,biolink:Drug,Unsteady gait,HP:0002317,biolink:DiseaseOrPhenotypicFeature,2,0.992,0.992,0.0,0.0,0.496,99.2,False,-0.0,False,0.992,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:edge#3,HP:0002317,Unsteady gait,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,NCBIGene:6647,SOD1,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,['PMID:21867702'],DEFAULT PHRASE,infores:disgenet,1,infores:unsecret-agent
bb41b9b5-2be7-4fec-9ff6-f767e9679458,infores:unsecret-agent,superoxide dismutase,UMLS:C0038838,biolink:Drug,Unsteady gait,HP:0002317,biolink:DiseaseOrPhenotypicFeature,3,0.984,0.984,0.0,0.0,0.492,98.4,False,-0.0,False,0.984,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:creative_edge#4,HP:0002317,Unsteady gait,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,UMLS:C0038838,superoxide dismutase,['biolink:Drug'],biolink:Drug,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
bb41b9b5-2be7-4fec-9ff6-f767e9679458,infores:unsecret-agent,superoxide dismutase,UMLS:C0038838,biolink:Drug,Unsteady gait,HP:0002317,biolink:DiseaseOrPhenotypicFeature,3,0.984,0.984,0.0,0.0,0.492,98.4,False,-0.0,False,0.984,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:edge#8,NCBIGene:6647,SOD1,['biolink:Gene'],biolink:Gene,UMLS:C0038838,superoxide dismutase,['biolink:Drug'],biolink:Drug,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity,,['PMID:22962679'],superoxide dismutase causes decreased activity of SOD1,infores:semmeddb,1,infores:unsecret-agent
bb41b9b5-2be7-4fec-9ff6-f767e9679458,infores:unsecret-agent,superoxide dismutase,UMLS:C0038838,biolink:Drug,Unsteady gait,HP:0002317,biolink:DiseaseOrPhenotypicFeature,3,0.984,0.984,0.0,0.0,0.492,98.4,False,-0.0,False,0.984,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:edge#9,HP:0002317,Unsteady gait,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,NCBIGene:6647,SOD1,['biolink:Gene'],biolink:Gene,biolink:gene_associated_with_condition,[],one-hop,,,,,,,,,['PMID:21867702'],DEFAULT PHRASE,infores:disgenet,1,infores:unsecret-agent
bb41b9b5-2be7-4fec-9ff6-f767e9679458,infores:unsecret-agent,RNA,CHEBI:33697,biolink:NucleicAcidEntity,Unsteady gait,HP:0002317,biolink:DiseaseOrPhenotypicFeature,4,0.976,0.976,0.0,0.0,0.488,97.6,False,-0.0,False,0.976,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,4,medik:creative_edge#5,HP:0002317,Unsteady gait,['biolink:DiseaseOrPhenotypicFeature'],biolink:DiseaseOrPhenotypicFeature,CHEBI:33697,RNA,['biolink:NucleicAcidEntity'],biolink:NucleicAcidEntity,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,
