pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
1cb889e8-c89b-4631-9af6-098ccdf12f8f,infores:improving-agent,autism,MONDO:0005260,biolink:Disease,Bumetanide,CHEBI:3213,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,89.2,False,-0.0,False,1.0,True,0.912,True,0.703,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax', 'infores:improving-agent']",4,1,inferred-CHEBI:3213-treats-MONDO:0005260,MONDO:0005260,autism,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:3213,Bumetanide,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
1cb889e8-c89b-4631-9af6-098ccdf12f8f,infores:improving-agent,autism,MONDO:0005260,biolink:Disease,Bumetanide,CHEBI:3213,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,89.2,False,-0.0,False,1.0,True,0.912,True,0.703,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax', 'infores:improving-agent']",4,1,32e65bbdc0182f3254439c6f1c9b9f7e,MONDO:0005260,autism,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:3213,Bumetanide,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
1cb889e8-c89b-4631-9af6-098ccdf12f8f,infores:improving-agent,autism,MONDO:0005260,biolink:Disease,Bumetanide,CHEBI:3213,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,89.2,False,-0.0,False,1.0,True,0.912,True,0.703,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax', 'infores:improving-agent']",4,1,2e79562888429eba490a3b8095631280,MONDO:0005260,autism,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:3213,Bumetanide,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:24343334', 'PMID:23233021', 'PMID:29483603', 'PMID:25490899', 'PMID:30746473', 'PMID:32173844', 'PMID:33336381', 'PMID:33484191']",DEFAULT PHRASE,infores:semmeddb,8,infores:biothings-semmeddb,infores:biothings-explorer
1cb889e8-c89b-4631-9af6-098ccdf12f8f,infores:improving-agent,autism,MONDO:0005260,biolink:Disease,Bumetanide,CHEBI:3213,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,89.2,False,-0.0,False,1.0,True,0.912,True,0.703,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax', 'infores:improving-agent']",4,1,aac8535ceb694285825c2a163c4e0b26,MONDO:0005260,autism,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:3213,Bumetanide,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:5827728', 'PMC:5605528', 'PMC:9367773', 'PMC:9030861', 'PMC:7562743']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:biothings-explorer,
1cb889e8-c89b-4631-9af6-098ccdf12f8f,infores:improving-agent,autism,MONDO:0005260,biolink:Disease,Bumetanide,CHEBI:3213,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,89.2,False,-0.0,False,1.0,True,0.912,True,0.703,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax', 'infores:improving-agent']",4,1,e8eb3692c6aa0ba5b365261c9a1547b0,MONDO:0005027,epilepsy,['biolink:Disease'],biolink:Disease,MONDO:0005260,autism,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,biolink:has_phenotype,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:omim,0,infores:hpo-annotations,infores:monarchinitiative
1cb889e8-c89b-4631-9af6-098ccdf12f8f,infores:improving-agent,autism,MONDO:0005260,biolink:Disease,Bumetanide,CHEBI:3213,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,89.2,False,-0.0,False,1.0,True,0.912,True,0.703,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax', 'infores:improving-agent']",4,1,09e71e5394ddc74970abe392ecc979b1,MONDO:0005027,epilepsy,['biolink:Disease'],biolink:Disease,CHEBI:3213,Bumetanide,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
1cb889e8-c89b-4631-9af6-098ccdf12f8f,infores:improving-agent,autism,MONDO:0005260,biolink:Disease,Bumetanide,CHEBI:3213,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,89.2,False,-0.0,False,1.0,True,0.912,True,0.703,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax', 'infores:improving-agent']",4,1,8e1e25a2176f5972ade582f0cb342a76,MONDO:0005027,epilepsy,['biolink:Disease'],biolink:Disease,CHEBI:3213,Bumetanide,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:preventative_for_condition,[],one-hop,,,,,,,,,"['PMID:10793196', 'PMID:25766676', 'PMID:28161194', 'PMID:27513374', 'PMID:26659482']",DEFAULT PHRASE,infores:semmeddb,5,infores:biothings-semmeddb,infores:biothings-explorer
1cb889e8-c89b-4631-9af6-098ccdf12f8f,infores:improving-agent,autism,MONDO:0005260,biolink:Disease,Bumetanide,CHEBI:3213,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,89.2,False,-0.0,False,1.0,True,0.912,True,0.703,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax', 'infores:improving-agent']",4,1,ce13fe4f80fba609fb8af288677381c2,MONDO:0005027,epilepsy,['biolink:Disease'],biolink:Disease,CHEBI:3213,Bumetanide,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:7907527', 'PMC:4812803', 'PMC:5035200', 'PMC:8471756', 'PMC:2732750']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:biothings-explorer,
1cb889e8-c89b-4631-9af6-098ccdf12f8f,infores:improving-agent,autism,MONDO:0005260,biolink:Disease,Bumetanide,CHEBI:3213,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,89.2,False,-0.0,False,1.0,True,0.912,True,0.703,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax', 'infores:improving-agent']",4,1,00439ec7d2b5b21e5f51469ce9aaa5da,MONDO:0005027,epilepsy,['biolink:Disease'],biolink:Disease,CHEBI:3213,Bumetanide,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:24796413', 'PMID:26189501', 'PMID:21167788', 'PMID:27147965', 'PMID:25765332', 'PMID:19406757', 'PMID:25390279', 'PMID:28943860', 'PMID:25765333', 'PMID:33279441', 'PMID:31133976', 'PMID:31476353', 'PMID:33450274', 'PMID:37779224']",DEFAULT PHRASE,infores:semmeddb,14,infores:biothings-semmeddb,infores:biothings-explorer
1cb889e8-c89b-4631-9af6-098ccdf12f8f,infores:improving-agent,autism,MONDO:0005260,biolink:Disease,Bumetanide,CHEBI:3213,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,89.2,False,-0.0,False,1.0,True,0.912,True,0.703,False,-0.0,"['infores:biothings-explorer', 'infores:unsecret-agent', 'infores:arax', 'infores:improving-agent']",4,1,medik:creative_edge#8,MONDO:0005260,autism,"['biolink:Disease', 'biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity']",biolink:Disease,CHEBI:3213,Bumetanide,"['biolink:SmallMolecule', 'biolink:Drug']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
