pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,agg1,agg2,publications_count
c9c6a95c-7750-4ba4-8a8b-d3061e74bf56,infores:arax,valproate semisodium,CHEBI:4667,biolink:NamedThing,complex partial epilepsy,MONDO:0006710,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:automat-robokop:CHEBI:39867--biolink:treats--None--None--None--MONDO:0005027--infores:hetionet,MONDO:0005027,epilepsy,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:BehavioralFeature', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:NamedThing,CHEBI:4667,valproate semisodium,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:hetionet,infores:automat-robokop,infores:arax,0
c9c6a95c-7750-4ba4-8a8b-d3061e74bf56,infores:arax,valproate semisodium,CHEBI:4667,biolink:NamedThing,complex partial epilepsy,MONDO:0006710,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:4667--biolink:applied_to_treat--None--None--None--MONDO:0016022--infores:drugcentral,MONDO:0016022,early myoclonic encephalopathy,"['biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:DiseaseOrPhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:rtx-kg2,infores:arax,0
c9c6a95c-7750-4ba4-8a8b-d3061e74bf56,infores:arax,valproate semisodium,CHEBI:4667,biolink:NamedThing,complex partial epilepsy,MONDO:0006710,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:4667--biolink:applied_to_treat--None--None--None--MONDO:0005754--infores:drugcentral,MONDO:0005754,epilepsy with generalized tonic-clonic seizures,"['biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:DiseaseOrPhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:rtx-kg2,infores:arax,0
c9c6a95c-7750-4ba4-8a8b-d3061e74bf56,infores:arax,valproate semisodium,CHEBI:4667,biolink:NamedThing,complex partial epilepsy,MONDO:0006710,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:4667--biolink:applied_to_treat--None--None--None--MONDO:0005027--infores:drugcentral,MONDO:0005027,epilepsy,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:BehavioralFeature', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:NamedThing,CHEBI:4667,valproate semisodium,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:rtx-kg2,infores:arax,0
c9c6a95c-7750-4ba4-8a8b-d3061e74bf56,infores:arax,valproate semisodium,CHEBI:4667,biolink:NamedThing,complex partial epilepsy,MONDO:0006710,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:automat-drug-central:CHEBI:39867--biolink:treats--None--None--None--MONDO:0005027--infores:automat-drug-central,MONDO:0005027,epilepsy,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:BehavioralFeature', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:NamedThing,CHEBI:4667,valproate semisodium,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:automat-drug-central,infores:arax,,0
c9c6a95c-7750-4ba4-8a8b-d3061e74bf56,infores:arax,valproate semisodium,CHEBI:4667,biolink:NamedThing,complex partial epilepsy,MONDO:0006710,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:rtx-kg2:CHEBI:4667--biolink:applied_to_treat--None--None--None--MONDO:0850093--infores:drugcentral,MONDO:0850093,absence epilepsy,"['biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:DiseaseOrPhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:rtx-kg2,infores:arax,0
c9c6a95c-7750-4ba4-8a8b-d3061e74bf56,infores:arax,valproate semisodium,CHEBI:4667,biolink:NamedThing,complex partial epilepsy,MONDO:0006710,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:molepro:CHEBI:39867--biolink:treats--None--None--None--MONDO:0850093--infores:sider,MONDO:0850093,absence epilepsy,"['biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:DiseaseOrPhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:sider,infores:molepro,infores:arax,0
c9c6a95c-7750-4ba4-8a8b-d3061e74bf56,infores:arax,valproate semisodium,CHEBI:4667,biolink:NamedThing,complex partial epilepsy,MONDO:0006710,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:molepro:CHEBI:39867--biolink:treats--None--None--None--MONDO:0005754--infores:sider,MONDO:0005754,epilepsy with generalized tonic-clonic seizures,"['biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:DiseaseOrPhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:sider,infores:molepro,infores:arax,0
c9c6a95c-7750-4ba4-8a8b-d3061e74bf56,infores:arax,valproate semisodium,CHEBI:4667,biolink:NamedThing,complex partial epilepsy,MONDO:0006710,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:molepro:CHEBI:39867--biolink:treats--None--None--None--MONDO:0850093--infores:drugcentral,MONDO:0850093,absence epilepsy,"['biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:DiseaseOrPhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugcentral,infores:molepro,infores:arax,0
c9c6a95c-7750-4ba4-8a8b-d3061e74bf56,infores:arax,valproate semisodium,CHEBI:4667,biolink:NamedThing,complex partial epilepsy,MONDO:0006710,biolink:DiseaseOrPhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,False,-0.0,['infores:arax'],1,1,infores:multiomics-clinicaltrials:UNII:614OI1Z5WI--biolink:treats--None--None--None--MONDO:0005027--infores:multiomics-clinicaltrials,MONDO:0005027,epilepsy,"['biolink:NamedThing', 'biolink:ThingWithTaxon', 'biolink:BiologicalEntity', 'biolink:PhenotypicFeature', 'biolink:BehavioralFeature', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:Disease']",biolink:NamedThing,CHEBI:4667,valproate semisodium,"['biolink:NamedThing', 'biolink:MolecularEntity', 'biolink:ChemicalEntity', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:PhysicalEssence', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:OntologyClass', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:Drug', 'biolink:ChemicalMixture', 'biolink:SmallMolecule']",biolink:NamedThing,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,infores:arax,,0
