pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
a6b714b4-5a84-495f-adb8-78652301ae95,infores:unsecret-agent,Absence Seizure,HP:0002121,biolink:PhenotypicFeature,Levetiracetam,CHEBI:6437,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,85.714,False,-0.0,False,0.963,False,-0.0,True,0.516,True,0.157,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent']",4,1,inferred-CHEBI:6437-treats-HP:0002121,HP:0002121,Absence Seizure,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Disease', 'biolink:BehavioralFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:6437,Levetiracetam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
a6b714b4-5a84-495f-adb8-78652301ae95,infores:unsecret-agent,Absence Seizure,HP:0002121,biolink:PhenotypicFeature,Levetiracetam,CHEBI:6437,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,85.714,False,-0.0,False,0.963,False,-0.0,True,0.516,True,0.157,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent']",4,1,45c9978818156db16b39b0c84646a948,HP:0002121,Absence Seizure,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Disease', 'biolink:BehavioralFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:6437,Levetiracetam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:in_clinical_trials_for,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:biothings-explorer,
a6b714b4-5a84-495f-adb8-78652301ae95,infores:unsecret-agent,Absence Seizure,HP:0002121,biolink:PhenotypicFeature,Levetiracetam,CHEBI:6437,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,85.714,False,-0.0,False,0.963,False,-0.0,True,0.516,True,0.157,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent']",4,1,e38a20f541baa5356837b7eaa1329a66,HP:0002121,Absence Seizure,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Disease', 'biolink:BehavioralFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:6437,Levetiracetam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,['PMC:2526377'],DEFAULT PHRASE,infores:text-mining-provider-targeted,1,infores:biothings-explorer,
a6b714b4-5a84-495f-adb8-78652301ae95,infores:unsecret-agent,Absence Seizure,HP:0002121,biolink:PhenotypicFeature,Levetiracetam,CHEBI:6437,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,85.714,False,-0.0,False,0.963,False,-0.0,True,0.516,True,0.157,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent']",4,1,3519a187-86ba-41fc-b9c1-bf21107c9329,HP:0002121,Absence Seizure,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Disease', 'biolink:BehavioralFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:6437,Levetiracetam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:aragorn,0,,
a6b714b4-5a84-495f-adb8-78652301ae95,infores:unsecret-agent,Absence Seizure,HP:0002121,biolink:PhenotypicFeature,Levetiracetam,CHEBI:6437,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,85.714,False,-0.0,False,0.963,False,-0.0,True,0.516,True,0.157,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent']",4,1,c3b8fe455520,MONDO:0850093,absence epilepsy,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,CHEBI:6437,Levetiracetam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],one-hop,,,,,,,,,['PMID:19265183'],DEFAULT PHRASE,infores:ctd,1,infores:aragorn,infores:molepro
a6b714b4-5a84-495f-adb8-78652301ae95,infores:unsecret-agent,Absence Seizure,HP:0002121,biolink:PhenotypicFeature,Levetiracetam,CHEBI:6437,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,85.714,False,-0.0,False,0.963,False,-0.0,True,0.516,True,0.157,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent']",4,1,722079dab577,MONDO:0850093,absence epilepsy,"['biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:BiologicalEntity', 'biolink:Disease', 'biolink:ThingWithTaxon']",biolink:NamedThing,HP:0002121,Absence Seizure,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Disease', 'biolink:BehavioralFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,biolink:positively_correlated_with,[],one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:drugmechdb,0,infores:aragorn,infores:automat-robokop
a6b714b4-5a84-495f-adb8-78652301ae95,infores:unsecret-agent,Absence Seizure,HP:0002121,biolink:PhenotypicFeature,Levetiracetam,CHEBI:6437,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,85.714,False,-0.0,False,0.963,False,-0.0,True,0.516,True,0.157,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent']",4,1,infores:rtx-kg2:CHEBI:6437--biolink:in_clinical_trials_for--None--None--None--HP:0002121--infores:multiomics-clinicaltrials,HP:0002121,Absence Seizure,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Disease', 'biolink:BehavioralFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:6437,Levetiracetam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,,one-hop,,,,,,,,,[],DEFAULT PHRASE,infores:multiomics-clinicaltrials,0,infores:rtx-kg2,infores:arax
a6b714b4-5a84-495f-adb8-78652301ae95,infores:unsecret-agent,Absence Seizure,HP:0002121,biolink:PhenotypicFeature,Levetiracetam,CHEBI:6437,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,85.714,False,-0.0,False,0.963,False,-0.0,True,0.516,True,0.157,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent']",4,1,medik:creative_edge#4,HP:0002121,Absence Seizure,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Disease', 'biolink:BehavioralFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:6437,Levetiracetam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
a6b714b4-5a84-495f-adb8-78652301ae95,infores:unsecret-agent,Absence Seizure,HP:0002121,biolink:PhenotypicFeature,Levetiracetam,CHEBI:6437,biolink:SmallMolecule,1,1.0,1.0,0.0,0.0,0.5,85.714,False,-0.0,False,0.963,False,-0.0,True,0.516,True,0.157,"['infores:biothings-explorer', 'infores:aragorn', 'infores:arax', 'infores:unsecret-agent']",4,1,medik:edge#4,HP:0002121,Absence Seizure,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Disease', 'biolink:BehavioralFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:6437,Levetiracetam,"['biolink:SmallMolecule', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:Drug', 'biolink:MolecularMixture', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,['PMC:2526377'],DEFAULT PHRASE,infores:text-mining-provider-targeted,1,infores:unsecret-agent,
a6b714b4-5a84-495f-adb8-78652301ae95,infores:unsecret-agent,Absence Seizure,HP:0002121,biolink:PhenotypicFeature,valproate semisodium,CHEBI:4667,biolink:MolecularMixture,2,1.0,1.0,0.0,0.0,0.5,57.143,False,-0.0,False,1.0,False,-0.0,True,0.286,True,0.161,"['infores:biothings-explorer', 'infores:aragorn', 'infores:unsecret-agent']",3,2,inferred-CHEBI:4667-treats-HP:0002121,HP:0002121,Absence Seizure,"['biolink:PhenotypicFeature', 'biolink:NamedThing', 'biolink:DiseaseOrPhenotypicFeature', 'biolink:ThingWithTaxon', 'biolink:Disease', 'biolink:BehavioralFeature', 'biolink:BiologicalEntity']",biolink:PhenotypicFeature,CHEBI:4667,valproate semisodium,"['biolink:MolecularMixture', 'biolink:NamedThing', 'biolink:ChemicalOrDrugOrTreatment', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:ChemicalMixture', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:ChemicalEntity', 'biolink:MolecularEntity', 'biolink:SmallMolecule', 'biolink:Drug', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:OntologyClass', 'biolink:PhysicalEssence']",biolink:MolecularMixture,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:biothings-explorer,0,,
