pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,publications_count,agg1,agg2
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Salbutamol,CHEBI:2549,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#0,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:2549,Salbutamol,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Salbutamol,CHEBI:2549,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#0,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:2549,Salbutamol,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3914858', 'PMC:4520251', 'PMC:3196786']",DEFAULT PHRASE,infores:text-mining-provider-targeted,3,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Salbutamol,CHEBI:2549,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#4,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:2549,Salbutamol,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Salbutamol,CHEBI:2549,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#4,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:2549,Salbutamol,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3914858', 'PMC:4520251', 'PMC:3196786']",DEFAULT PHRASE,infores:text-mining-provider-targeted,3,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Pembrolizumab,UNII:DPT0O3T46P,biolink:ChemicalEntity,myasthenia gravis,MONDO:0009688,biolink:Disease,2,0.997,0.462,0.0,0.997,0.73,46.19,False,-0.0,False,0.462,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:creative_edge#87,MONDO:0009688,myasthenia gravis,['biolink:Disease'],biolink:Disease,UNII:DPT0O3T46P,Pembrolizumab,"['biolink:ChemicalEntity', 'biolink:Drug']",biolink:ChemicalEntity,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Pembrolizumab,UNII:DPT0O3T46P,biolink:ChemicalEntity,myasthenia gravis,MONDO:0009688,biolink:Disease,2,0.997,0.462,0.0,0.997,0.73,46.19,False,-0.0,False,0.462,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,2,medik:edge#87,MONDO:0009688,myasthenia gravis,['biolink:Disease'],biolink:Disease,UNII:DPT0O3T46P,Pembrolizumab,"['biolink:ChemicalEntity', 'biolink:Drug']",biolink:ChemicalEntity,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMID:32582515', 'PMID:35575994']",DEFAULT PHRASE,infores:semmeddb,2,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Pyridostigmine,CHEBI:8665,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,3,0.995,0.995,0.0,0.0,0.498,99.524,False,-0.0,False,0.995,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:creative_edge#5,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:8665,Pyridostigmine,"['biolink:SmallMolecule', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Pyridostigmine,CHEBI:8665,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,3,0.995,0.995,0.0,0.0,0.498,99.524,False,-0.0,False,0.995,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:edge#5,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:8665,Pyridostigmine,"['biolink:SmallMolecule', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:8771030', 'PMC:7358547', 'PMC:6678012', 'PMC:4620750', 'PMC:6735524']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Pyridostigmine,CHEBI:8665,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,3,0.995,0.995,0.0,0.0,0.498,99.524,False,-0.0,False,0.995,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:creative_edge#14,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:8665,Pyridostigmine,"['biolink:SmallMolecule', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Pyridostigmine,CHEBI:8665,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,3,0.995,0.995,0.0,0.0,0.498,99.524,False,-0.0,False,0.995,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,3,medik:edge#14,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:8665,Pyridostigmine,"['biolink:SmallMolecule', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:4971594', 'PMC:7154453']",DEFAULT PHRASE,infores:text-mining-provider-targeted,2,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Amifampridine,CHEBI:135948,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,4,0.99,0.99,0.0,0.0,0.495,99.048,False,-0.0,False,0.99,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,4,medik:creative_edge#1,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:135948,Amifampridine,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Amifampridine,CHEBI:135948,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,4,0.99,0.99,0.0,0.0,0.495,99.048,False,-0.0,False,0.99,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,4,medik:edge#1,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:135948,Amifampridine,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:5702274', 'PMC:3235562', 'PMC:6032286']",DEFAULT PHRASE,infores:text-mining-provider-targeted,3,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Ephedrine,CHEBI:15407,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,5,0.986,0.986,0.0,0.0,0.493,98.571,False,-0.0,False,0.986,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,5,medik:creative_edge#3,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15407,Ephedrine,"['biolink:SmallMolecule', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Ephedrine,CHEBI:15407,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,5,0.986,0.986,0.0,0.0,0.493,98.571,False,-0.0,False,0.986,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,5,medik:edge#3,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:15407,Ephedrine,"['biolink:SmallMolecule', 'biolink:ChemicalEntity']",biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3196786', 'PMC:6436731', 'PMC:3136566', 'PMC:6735524']",DEFAULT PHRASE,infores:text-mining-provider-targeted,4,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,sugammadex sodium,CHEBI:90952,biolink:MolecularMixture,Myasthenias,HP:0003473,biolink:PhenotypicFeature,6,0.981,0.981,0.0,0.0,0.49,98.095,False,-0.0,False,0.981,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,6,medik:creative_edge#2,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:90952,sugammadex sodium,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,sugammadex sodium,CHEBI:90952,biolink:MolecularMixture,Myasthenias,HP:0003473,biolink:PhenotypicFeature,6,0.981,0.981,0.0,0.0,0.49,98.095,False,-0.0,False,0.981,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,6,medik:edge#2,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:90952,sugammadex sodium,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:3258733', 'PMC:4610805', 'PMC:3789633', 'PMC:3970074', 'PMC:6698336']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Prednisone,CHEBI:8382,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,7,0.976,0.976,0.0,0.0,0.488,97.619,False,-0.0,False,0.976,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,7,medik:creative_edge#9,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:8382,Prednisone,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Prednisone,CHEBI:8382,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,7,0.976,0.976,0.0,0.0,0.488,97.619,False,-0.0,False,0.976,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,7,medik:edge#9,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:8382,Prednisone,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:5790606', 'PMC:6038933', 'PMC:8950430']",DEFAULT PHRASE,infores:text-mining-provider-targeted,3,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Azathioprine,CHEBI:2948,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,8,0.971,0.971,0.0,0.0,0.486,97.143,False,-0.0,False,0.971,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,8,medik:creative_edge#8,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:2948,Azathioprine,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Azathioprine,CHEBI:2948,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,8,0.971,0.971,0.0,0.0,0.486,97.143,False,-0.0,False,0.971,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,8,medik:edge#8,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:2948,Azathioprine,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:7441698', 'PMC:3725012', 'PMC:5753085', 'PMC:6899582', 'PMC:5501770']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,cyclophosphamide hydrate,CHEBI:4026,biolink:MolecularMixture,Myasthenias,HP:0003473,biolink:PhenotypicFeature,9,0.967,0.967,0.0,0.0,0.483,96.667,False,-0.0,False,0.967,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,9,medik:creative_edge#10,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:4026,cyclophosphamide hydrate,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,cyclophosphamide hydrate,CHEBI:4026,biolink:MolecularMixture,Myasthenias,HP:0003473,biolink:PhenotypicFeature,9,0.967,0.967,0.0,0.0,0.483,96.667,False,-0.0,False,0.967,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,9,medik:edge#10,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:4026,cyclophosphamide hydrate,"['biolink:MolecularMixture', 'biolink:SmallMolecule']",biolink:MolecularMixture,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:6690491', 'PMC:8950430', 'PMC:3151594', 'PMC:3612927', 'PMC:3663983']",DEFAULT PHRASE,infores:text-mining-provider-targeted,5,infores:unsecret-agent,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Methylprednisolone,CHEBI:6888,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,10,0.962,0.962,0.0,0.0,0.481,96.19,False,-0.0,False,0.962,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,10,medik:creative_edge#6,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:6888,Methylprednisolone,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats,[],creative,,,,,,,,,[],DEFAULT PHRASE,infores:unsecret-agent,0,,
95188046-890d-4618-a8a1-9ef453df8ca3,infores:unsecret-agent,Methylprednisolone,CHEBI:6888,biolink:SmallMolecule,Myasthenias,HP:0003473,biolink:PhenotypicFeature,10,0.962,0.962,0.0,0.0,0.481,96.19,False,-0.0,False,0.962,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,10,medik:edge#6,HP:0003473,Myasthenias,['biolink:PhenotypicFeature'],biolink:PhenotypicFeature,CHEBI:6888,Methylprednisolone,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:treats_or_applied_or_studied_to_treat,[],one-hop,,,,,,,,,"['PMC:5072282', 'PMC:6465686', 'PMC:7154453']",DEFAULT PHRASE,infores:text-mining-provider-targeted,3,infores:unsecret-agent,
