pk,ara,result_subjectNode_name,result_subjectNode_id,result_subjectNode_cat,result_objectNode_name,result_objectNode_id,result_objectNode_cat,rank,sugeno_score,comp_confidence_score,comp_novelty_score,comp_clinical_evidence_score,weighted_mean_score,normalized_score,ARAX,ARAX_score,unsecret,unsecret_score,improving_agent,improving_agent_score,biothings_explorer,biothings_explorer_score,aragorn,aragorn_score,ARA_list,ARA_count,result_counter,edge_id,edge_object,edge_objectNode_name,edge_objectNode_cats,edge_objectNode_cat,edgeg_subject,edge_subjectNode_name,edge_subjectNode_cats,edge_subjectNode_cat,predicate,qualifiers,edge_type,qualified_predicate,causal_mechanism_qualifier,subject_direction_qualifier,subject_aspect_qualifier,subject_form_or_variant_qualifier,object_direction_qualifier,object_aspect_qualifier,object_form_or_variant_qualifier,publications,phrase,primary_source,agg1,publications_count,agg2
dd1a12f8-7f3b-4ca6-9409-6c77f2fb3cad,infores:unsecret-agent,Tretinoin,CHEBI:15367,biolink:SmallMolecule,CDK5,NCBIGene:1020,biolink:ThingWithTaxon,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#29,NCBIGene:1020,CDK5,"['biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:PhysicalEssence', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:BiologicalEntity', 'biolink:GenomicEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:GeneProductMixin', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:OntologyClass']",biolink:ThingWithTaxon,CHEBI:15367,Tretinoin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,"['PMC:6473547', 'PMC:4145975', 'PMC:4265016']",Tretinoin causes decreased activity or abundance of CDK5,infores:text-mining-provider-targeted,infores:unsecret-agent,3,
dd1a12f8-7f3b-4ca6-9409-6c77f2fb3cad,infores:unsecret-agent,Tretinoin,CHEBI:15367,biolink:SmallMolecule,CDK5,NCBIGene:1020,biolink:ThingWithTaxon,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#71,NCBIGene:1020,CDK5,"['biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:PhysicalEssence', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:BiologicalEntity', 'biolink:GenomicEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:GeneProductMixin', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:OntologyClass']",biolink:ThingWithTaxon,CHEBI:15367,Tretinoin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,"['PMC:4145975', 'PMC:4265016']",Tretinoin causes decreased activity or abundance of CDK5,infores:text-mining-provider-targeted,infores:unsecret-agent,2,
dd1a12f8-7f3b-4ca6-9409-6c77f2fb3cad,infores:unsecret-agent,Tretinoin,CHEBI:15367,biolink:SmallMolecule,CDK5,NCBIGene:1020,biolink:ThingWithTaxon,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#3,NCBIGene:1020,CDK5,"['biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:PhysicalEssence', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:BiologicalEntity', 'biolink:GenomicEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:GeneProductMixin', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:OntologyClass']",biolink:ThingWithTaxon,CHEBI:15367,Tretinoin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}]",creative,causes,,,,,decreased,activity_or_abundance,,[],Tretinoin causes decreased activity or abundance of CDK5,infores:unsecret-agent,,0,
dd1a12f8-7f3b-4ca6-9409-6c77f2fb3cad,infores:unsecret-agent,Tretinoin,CHEBI:15367,biolink:SmallMolecule,CDK5,NCBIGene:1020,biolink:ThingWithTaxon,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#79,NCBIGene:429,ASCL1,['biolink:Protein'],biolink:Protein,CHEBI:15367,Tretinoin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,"['PMC:4415893', 'PMC:8526497', 'PMC:4038504', 'PMC:4410680']",Tretinoin causes decreased activity or abundance of ASCL1,infores:text-mining-provider-targeted,infores:unsecret-agent,4,
dd1a12f8-7f3b-4ca6-9409-6c77f2fb3cad,infores:unsecret-agent,Tretinoin,CHEBI:15367,biolink:SmallMolecule,CDK5,NCBIGene:1020,biolink:ThingWithTaxon,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#80,NCBIGene:1020,CDK5,"['biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:PhysicalEssence', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:BiologicalEntity', 'biolink:GenomicEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:GeneProductMixin', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:OntologyClass']",biolink:ThingWithTaxon,NCBIGene:429,ASCL1,['biolink:Protein'],biolink:Protein,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,increased,activity_or_abundance,,"['PMC:4832386', 'PMC:7779202']",ASCL1 causes increased activity or abundance of CDK5,infores:text-mining-provider-targeted,infores:unsecret-agent,2,
dd1a12f8-7f3b-4ca6-9409-6c77f2fb3cad,infores:unsecret-agent,Tretinoin,CHEBI:15367,biolink:SmallMolecule,CDK5,NCBIGene:1020,biolink:ThingWithTaxon,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:creative_edge#7,NCBIGene:1020,CDK5,"['biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:PhysicalEssence', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:BiologicalEntity', 'biolink:GenomicEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:GeneProductMixin', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:OntologyClass']",biolink:ThingWithTaxon,CHEBI:15367,Tretinoin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}]",creative,causes,,,,,decreased,activity_or_abundance,,[],Tretinoin causes decreased activity or abundance of CDK5,infores:unsecret-agent,,0,
dd1a12f8-7f3b-4ca6-9409-6c77f2fb3cad,infores:unsecret-agent,Tretinoin,CHEBI:15367,biolink:SmallMolecule,CDK5,NCBIGene:1020,biolink:ThingWithTaxon,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#87,NCBIGene:6035,RNASE1,['biolink:Protein'],biolink:Protein,CHEBI:15367,Tretinoin,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,increased,activity_or_abundance,,"['PMID:11060298', 'PMC:6130198', 'PMC:3989140', 'PMC:4789177', 'PMC:4293703']",Tretinoin causes increased activity or abundance of RNASE1,infores:text-mining-provider-targeted,infores:unsecret-agent,5,
dd1a12f8-7f3b-4ca6-9409-6c77f2fb3cad,infores:unsecret-agent,Tretinoin,CHEBI:15367,biolink:SmallMolecule,CDK5,NCBIGene:1020,biolink:ThingWithTaxon,1,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,1.0,False,-0.0,False,-0.0,False,-0.0,['infores:unsecret-agent'],1,1,medik:edge#88,NCBIGene:1020,CDK5,"['biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:PhysicalEssence', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:BiologicalEntity', 'biolink:GenomicEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:GeneProductMixin', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:OntologyClass']",biolink:ThingWithTaxon,NCBIGene:6035,RNASE1,['biolink:Protein'],biolink:Protein,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,decreased,activity_or_abundance,,"['PMID:20826806', 'PMC:4980216', 'PMC:4491027', 'PMC:3046065', 'PMID:25864429']",RNASE1 causes decreased activity or abundance of CDK5,infores:text-mining-provider-targeted,infores:unsecret-agent,5,
dd1a12f8-7f3b-4ca6-9409-6c77f2fb3cad,infores:improving-agent,Abexinostat,CHEBI:92223,biolink:SmallMolecule,CDK5,NCBIGene:1020,biolink:ThingWithTaxon,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,True,1.0,False,-0.0,False,-0.0,['infores:improving-agent'],1,2,inferred_edge_1-0,NCBIGene:1020,CDK5,"['biolink:ThingWithTaxon', 'biolink:Protein', 'biolink:PhysicalEssence', 'biolink:Gene', 'biolink:ChemicalEntityOrGeneOrGeneProduct', 'biolink:MacromolecularMachineMixin', 'biolink:Polypeptide', 'biolink:BiologicalEntity', 'biolink:GenomicEntity', 'biolink:ChemicalEntityOrProteinOrPolypeptide', 'biolink:NamedThing', 'biolink:GeneOrGeneProduct', 'biolink:GeneProductMixin', 'biolink:PhysicalEssenceOrOccurrent', 'biolink:OntologyClass']",biolink:ThingWithTaxon,CHEBI:92223,Abexinostat,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}, {'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'activity_or_abundance'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'decreased'}]",creative,causes,,,,,decreased,activity_or_abundance,,[],Abexinostat causes decreased activity or abundance of CDK5,infores:improving-agent,,0,
dd1a12f8-7f3b-4ca6-9409-6c77f2fb3cad,infores:improving-agent,Abexinostat,CHEBI:92223,biolink:SmallMolecule,CDK5,NCBIGene:1020,biolink:ThingWithTaxon,2,1.0,1.0,0.0,0.0,0.5,100.0,False,-0.0,False,-0.0,True,1.0,False,-0.0,False,-0.0,['infores:improving-agent'],1,2,25816228-i1,NCBIGene:10013,HDAC6,['biolink:Gene'],biolink:Gene,CHEBI:92223,Abexinostat,['biolink:SmallMolecule'],biolink:SmallMolecule,biolink:affects,"[{'qualifier_type_id': 'biolink:object_aspect_qualifier', 'qualifier_value': 'expression'}, {'qualifier_type_id': 'biolink:object_direction_qualifier', 'qualifier_value': 'increased'}, {'qualifier_type_id': 'biolink:qualified_predicate', 'qualifier_value': 'biolink:causes'}]",one-hop,causes,,,,,increased,expression,,[],Abexinostat causes increased expression of HDAC6,infores:lincs,infores:spoke,0,infores:improving-agent
